,Title,Publication_type,Journal,Abstract
449,Assessing rodent community responses in disturbed environments of the Chilean Patagonia,Scientific article,Mammalia,"The effects of a perturbation gradient on a Patagonian rodent community were assessed over the course of a year by comparing the community parameters in natural and different disturbed environments in the central Chilean Patagonia. The studied habitat types were mature forest, second-growth forest, forest plantations, and agricultural grassland. We recorded eight species of sigmodontine rodents (Abrothrix longipilis, Abrothrix olivaceus, Chelemys macronyx, Geoxus valdivianus, Irenomys tarsalis, Loxodontomys micropus, Oligoryzomys longicaudatus, and Reithrodon auritus). Most species experience an increment in abundance from summer to autumn, with a notable decrease in winter and spring. The grassland showed lower species abundance than the mature forest. However, we did not detect significant differences in diversity, evenness, or species richness among the forest habitats. Our results suggest that rodents basically distinguish between forested and open areas, but not the specific plant composition of each habitat. Thus, the change in land use in the central Chilean Patagonia has not significantly affected the community parameters of diversity, evenness, or species richness."
450,Human-induced disturbances influence on bird communities of coastal forests in Eastern Tanzania,Scientific article,British Journal of Applied Science & Technology,"Aims: To assess the influence of human-induced disturbances on bird communities. Study Design: Longitudinal study. Place and Duration of Study: Four forests; - Kion/Zaraninge, Kwamsisi/Kwahatibu, Msumbugwe and Gendagenda in PanganiSaadani ecosystem, from October 2010 to January 2011. Methodology: Eight permanent transects, each 500 m long stratified into forest core and forest edge habitats were used in each forest to identify types and quantify levels of human-induced disturbances, determine bird species composition, diversity and richness, and abundance. Therefore three circular plots, each 20 m radius were allocated at beginning, middle and end of each transect. The level of disturbance was assessed using four disturbance indicators; tree lopping, human trails, Pit-sawing and animal snaring while bird species were identified by sight and call. One-way Analysis of Variance was used to test for differences in bird abundance between forests. Moreover, Shannon-Wiener Diversity Index (H) was calculated for each forest to assess species diversity and evenness, and Bray-Curtis Cluster analysis was used to determine similarity in bird species composition between the forests. Results: A total of 564 individuals composed of 88 bird species distributed in ten Orders were recorded. The level of Pit-sawing and lopping differed significantly between forests (P<.05) with Msumbugwe being more disturbed than the rest. Bird abundance differed significantly between the forests (P<.05) with the highest abundance occurring in Msumbugwe. As expected, species richness and diversity were greater in least disturbed forests-Kiono/Zaraninge and Kwamsisi/Kwahatibu than in the highly disturbed forest, but forest dependent species were not significantly different between the study forests. Apparently, only Pit-sawing was found to correlate with bird abundance (P<.01) whereas similarities in species composition were evident with Kion/Zaraninge and Gendagenda exhibiting much overlap. Conclusion: Increasing forest disturbances seems to negatively impact on distribution of birds thus challenging conservationists to devising sustainable forest management strategies in order to sustain bird diversity and abundances in these unique forests."
451,Does coarse woody debris density and volume influence the terrestrial vertebrate community in restored bauxite mines?,Scientific article,Forest Ecology & Management,"Coarse woody debris (CWD) is a critical functional and structural component of forest and woodland ecosystems, providing habitat for many species, and is an important consideration in forest and woodland restoration. CWD is very slow to develop naturally so, to accelerate the return of CWD-dependent species to restored areas, CWD is commonly returned manually. However, few studies have tested the effectiveness of such a strategy. We investigated whether the provision of CVVD, heaped into 'habitat piles' of varying density (0.4-5.7 piles ha(-1)), was effective in accelerating recolonisation by reptiles, frogs and mammals into 3-year old restored bauxite mine-pits in south-western Western Australia. Both reptile and mammal communities, and the abundances of some individual species, differed significantly between unmined and restored forest but the provision of CWD had only a weak effect in accelerating recolonisation. Acritoscincus trilineatus abundance showed a weak positive relationship with habitat pile density and both Cryptoblepharus buchananii and Christinus mannoratus, species that are very rare in restoration, were recorded adjacent to habitat piles in two and one mine-pits respectively. The weak effects of CWD in accelerating recolonisation were likely due to the differences in vegetation between unmined and restored forest, resulting in restored forests being primarily inhabited by generalist species that did not require CWD, and the highest habitat pile densities being <=,6% of log densities in unmined forest, suggesting that CWD-dependent species perceived all mine-pits as having similarly low levels of CWD, compared to unmined forest. Our results suggest that the provision of CWD in restored areas is critical to accelerate recolonisation of CWD-dependent fauna, but this will require consideration of both CWD spatial connectivity and temporal continuity. Spatial connectivity would be best achieved through CWD densities that approximate those in reference ecosystems, whereas temporal continuity will be harder to achieve, particularly in systems where CWD is slow to develop, and will require the development of innovative techniques and long-term management. However, ensuring the spatial connectivity and temporal continuity of CWD in restored areas should greatly increase their biodiversity value."
452,Edge effects across boundaries between natural and restored jarrah (Eucalyptus marginata) forests in south-western Australia,Scientific article,Austral Ecology,"Edge effects are a widespread and ubiquitous ecological phenomenon, yet they remain poorly studied across edges between restored and natural forests. To address this lack of knowledge, we studied vertebrate communities across edges between 3‐year old restored mine‐pits and adjacent unmined forest in the jarrah (Eucalyptus marginata) forest of south‐western Australia. We found that mammal communities showed no edge response but reptile communities did. Overall reptile abundance and Morethia obscura abundance were higher in unmined forest along edges, Egernia napoleonis abundance was lower in unmined forest along edges, while Pogona minor abundance was lower in restored mine‐pits along edges. Predictive models were unable to predict species edge responses, due to the lack of knowledge of the ecology of jarrah forest reptiles, but proved useful in identifying potential ecological mechanisms behind observed edge responses and suggested that potential mechanisms were likely different for each species. Our study is the first to show edge responses in both habitats forming the edge between restored and natural forests, emphasizing the importance of studying both habitats forming the edge. Our results also suggest that, despite being poorly studied, edge responses are common across edges between restored and natural forest and result from a variety of ecological mechanisms. An increased understanding of the ecological mechanisms driving edge responses across edges between restored and natural forests will improve our ability to integrate restored areas into cross‐landscape management and, ultimately, improve our ability to manage landscapes for biodiversity conservation. "
453,"Effects of livestock grazing and habitat characteristics on small mammal communities in the Knersvlakte, South Africa",Scientific article,Journal of Arid Environments,"We studied the influence of different livestock grazing intensities and habitat types on small mammals in the Knersvlakte, South Africa. The Knersvlakte belongs to the Succulent Karoo Biome, a biodiversity hotspot. We placed a total of 22 plots in areas of two grazing intensities (moderate and intensive) and two major habitat types (quartz fields and loamy soils). On these plots, we carried out small-mammal live trapping (90 traps during four nights) and estimated the cover of different vegetation layers. In total, 140 small mammal individuals from ten species were caught during 7920 trap nights. All species occurred on loamy soils, but only four in quartz fields. The small-mammal community on intensively-grazed plots was a subset of that on moderately-grazed plots. The most abundant species on loamy soils were Macroscelides proboscideus and Rhabdomys pumilio and in quartz fields M. proboscideus and Gerbillurus paeba. Generalised linear models revealed that habitat type had the strongest influence on abundance and diversity of small mammals. Vegetation cover mainly had indirect influences, via the habitat type, on abundance, diversity and the body condition of small mammals. Overall, the intensities of livestock grazing showed no effect on abundance and diversity."
454,"Species richness and meta-community structure of land snails along an altitudinal gradient on Bioko Island, Equatorial Guinea",Scientific article,Journal of Molluscan Studies,"We investigated the land-snail fauna of rain forests on the eastern slopes of Pico Biao on Bioko Island in the Gulf of Guinea. Thirty-seven plots were studied along an altitudinal transect reaching from sea level (lowland rain forest) to an altitude of 1,830 m (mossy forest). A total of 1,755 specimens were col- lected and were assigned to 68 land-snail species. Eleven species were new records for Bioko. At least 15 of the recorded species are endemic to Bioko. The degree of endemism was high in mossy forest (23%) and in lowland rain forest (20%), but lower in montane forest (8%). Species richness showed a hump- shaped distribution along the altitudinal gradient with a maximum at 500 m a.s.l. Species richness peaked in forests in which there had been selective logging more than 50 years ago, indicating that some disturbance may have beneficial effects on biodiversity. Species richness was correlated with the thickness of leaf litter. The availability and quality of suitable microhabitats is more important for the occurrence of snail species than gradients of otherwise often decisive environmental parameters like temperature, which are strongly correlated with altitude. A lack of clustering of the occurrences of dif- ferent snail species along the altitudinal gradient indicated a Gleasonian meta-community structure with individualistic responses of the various species to environmental parameters. No negative co-occur- rence patterns that might provide evidence for interspecific competition could be detected. The fre- quent coexistence of morphologically similar, and presumably ecologically equivalent, congeneric species may indicate that such equivalents do not exclude each other as predicted by the neutral theory of biodiversity. However, current knowledge about individual snail species is too scanty to exclude the possibility that niches of congeneric species differ in some details."
455,Anthropogenic disturbance changes the structure of arboreal tropical ant communities,Scientific article,Ecography,"We investigated the infiucnce of anthropogenic disturbance on the structure of
arboreal Formicidae communities in SE Asian lowland forests. Included were a
primary forest and three disturbed forests whieh had been cut for crop planting and
abandoned 5. 15, and 40 yr after agricullural use for natural regeneration. Ant
communities of at least 10 Individuals of one tree species were sainpied from each
forest type by fogging. Diversity and community structure differed clearly among
forest types. During the course of forest regeneration ant communities became more
and more similar to those ol"" the primary forest. A surrogate analysis shows thai ant
communities of the primary lores! cannot be distinguished from randomly composed
communities. This is in contrast to the theoretical expectations according to which
ant communities should be structured by interspecific competition ihat lead to a large
degree of predictability. However, a deterministic pattern of ant communities is
found in the disturbed forest. This indicates that human disturbance not only changes
the faunisiic composition of ant communities but could also change the dynamics of
the whole system. The transition from stochastic !o deterministic communities might
be of general importance for understanding the mechanisms structuring communities
in disturbed habitats."
456,"Diversity and abundance of some ground-dwelling invertebrates in plantation vs. native forests in Tasmania, Australia",Scientific article,Forest Ecology and Management,"Land snails, millipedes, carabid beetles and velvet worms (Onychophora) were methodically hand-sampled at 46 localities on paired plots in conifer or eucalypt plantations and in nearby native forest in northwest Tasmania. Native land snails and millipedes were less diverse in plantations than in native forests, and introduced land snails were several times more abundant in plantations. Many taxa, however, including a velvet worm previously considered to be threatened by plantation development, and including almost half the taxa represented by 10 or more specimens, were found at least as commonly in plantations as in native forests. Invertebrate conservation may be assisted by specific forestry operations, including windrowing, mound ploughing, and leaving waste prunings and thinnings to rot. Plantation development on cleared farmland can allow invertebrates to re-invade from adjacent bush remnants, reducing the risk of local extinctions."
457,"Exploring biological diversity, environment and local people's perspectives in forest landscapes: Methods for a multidisciplinary landscape assessment",Agency report (published),The Center for International Forestry Research (CIFOR),"This document is intended for those interested in gathering natural resource information that
reflects the needs of local communities. We describe a multidisciplinary survey developed
with indigenous communities in the forest-rich landscapes of the Malinau watershed in East
Kalimantan (Indonesian Borneo). The final methods reflect a mixture of judgements,
compromises and reactions to trials over many months. We have tried to make the text useful
to readers from diverse backgrounds given the multidisciplinary nature of the procedures
described. Our experiences show that what is obvious to one is novel to another.
This is not intended as a manual. We would rather it was viewed as a summary of lessons
learned. Our reluctance to being overly prescriptive arises from both the ongoing nature of the
work and the specific context in which our methods have been developed. Only some of the
benefits and possible pitfalls of the methods described can be assessed now.
It is difficult to know what to call our methods. The title Exploring biological diversity, environment
and local peoples perspectives in forest landscapes at least describes the aim of our approach
and Methods for a multidisciplinary landscape assessment describes the content. Some
already refer to our approach as participatory biodiversity surveys, certainly shorter and clearer.
However, whether the formal portion of our methods can be considered participatoryis
debatable. Certainly, biodiversity surveys fails to describe the breadth of information gathered:
this includes many aspects not traditionally considered biodiversity. Readers may form their
own opinions.
It is important at the start to distinguish two aspects of these methods: first, the questions we
are addressing and second, the specific methods we have chosen to tackle them. The first can be promoted with little reservation. More caveats are required in presenting our methods.
We have encouraged similar studies elsewhere to develop alternative approaches and we
look forward to a wider suite of tried and tested methods in the future."
458,URBANIZATION AND SPIDER DIVERSITY: INFLUENCES OF HUMAN MODIFICATION OF HABITAT STRUCTURE AND PRODUCTIVITY,Scientific article,Ecological Society of America,"As a part of the Central Arizona-Phoenix Long-Term Ecological Research project, we determined how land-use alteration influenced spider and harvestman diversity. We sampled spiders in six habitat types (desert parks, urban desert remnants, industrial, agricultural, xeric- and mesic-residential yards) and tested how habitat type and productivity affected spider diversity and abundance. As expected, agricultural fields and mesic yards were more productive than the other, xeric habitats. These more productive habitats were characterized by higher abundances but lower spider diversity and were dominated by Lycosidae (wolf spiders), followed by Linyphiidae (sheet-web weavers). The increase in wolf spider abundance was positively correlated with habitat productivity and negatively correlated with the abundance of other predatory arthropods that might compete with, or prey upon, wolf spiders. Temporal changes in productivity affected spider abundance. After an El-Ni (n) over tildeo winter (May 1998), spider abundance was five times higher than after an extremely dry winter (May 2000). The differences in spider abundance between agricultural fields and the four xeric habitats were profound in 2000 but moderate in 1998, suggesting an interaction between the effects of natural and anthropogenic factors on spider populations. Compared with xeric habitats, the El-Ni (n) over tildeo effect was less profound in agricultural sites, suggesting that human land modification mollifies seasonal effects. We suggest that habitat structure and productivity alteration may change community structure, as the urban or agricultural habitats favor one or a few preadapted taxa over many others. Incorporation of large fragments of natural habitats into future landscape planning in urban environments may be important for conservation of rich spider communities."
459,"Influence of land use on plant community composition and diversity in Highland Sourveld grassland in the southern Drakensberg, South Africa",Scientific article,Journal of Applied Ecology,"1. Biodiversity conservation of grasslands in the face of transformation and global climate change will depend mainly on rangelands because of insufficient conservation areas in regions suited to agriculture. Transformed vegetation (pastures, crops and plantations) is not expected to conserve much biodiversity. This study examined the impact of land use on the plant diversity and community composition of the southern Drakensberg grasslands in South Africa, which are threatened with complete transformation to pastures, crops and plantations.
2. The main land uses in this high rainfall region are: ranching or dairy production under private tenure using indigenous grassland, pastures (Eragrostis curvula, kikuyu  and ryegrass) and maize; plantation forestry; communal tenure (maize and rangelands); and conservation.
3. Plant diversity and composition were assessed using Whittaker plots. Transformed cover types were depauperate in species and ranged from kikuyu (1·4 species m2) and ryegrass (2·9), to pine plantation (3·1), E. curvula pasture (3·1), commercial maize (3·2) and communal maize (7·8). With the exception of pine plantations, these communities supported mostly exotic (50 of 70 species) or ruderal indigenous species and made little contribution to plant species conservation. Abandoned communal cropland reverted to an indigenous grassland almost devoid of exotic species within c. 20 years.
4. It was predicted that frequently cultivated sites (maize and ryegrass) would support less diversity than long-lived pastures (kikuyu and E. curvula ). This was contradicted by the relatively high species diversity of communal maize fields, which was attributed to a lack of herbicides, and the depauperate communities of kikuyu and of E. curvula pasture, which were attributed, respectively, to a dense growth form and a severe mowing regime. 
5.Pine plantations harboured fourfold more indigenous species per plot (27) than other transformed types. Species were mostly shade-tolerant grassland relics that had persisted for 12 years since planting, and some forest colonizers. Indigenous species
were unlikely to be maintained because of aggressive invasion by the exotic Rubus cuneifolius and severe disturbance associated with tree harvest and replanting.
6. The richness of indigenous grasslands was expected to differ in response to grazing pressure but they differed only in composition. Grasslands were dominated by grasses, despite the richness of herbaceous species. The dominance ofThemeda triandrawasreduced under livestock grazing in favour of more grazing-tolerant species. Exotic specieswere inconspicuous except for the dicotyledonRichardia brasiliensis, a subdominantunder communal grazing.
7.Southern Drakensberg grasslands are probably now stocked with livestock six- to35-fold higher than during pre-settlement times. A grassland protected forc.50 yearssupported twofold greater richness (101 species plot  1) than grazed grasslands, suggesting that a 150-year history of increased mammalian grazing had already reduced plant diversity.
8. Synthesis and applications. Land acquisition is costly, thus conservation of plant diversity in the southern Drakensberg requires a policy that inhibits transformation of rangelands. This can be achieved by enhancing their economic viability without changing the vegetation composition. Their inherent value must be recognized, such as for water production. The viability of commercial ranches can be improved by increasing their size. Conservation efforts need to be focused on plant taxa that only occur on unprotected rangelands."
460,"Unpublished data of diversity and similarity of butterfly communities in five different habitat types at Tam Dao National Park, Vietnam",Authored unpublished data,Unpublished data,"Diversity and similarity of butterfly communities were assessed in five different
habitat types (from natural closed forest to agricultural lands) in the mountains of
Tam Dao National Park, Vietnam for 3 years from 2002 to 2004. The line transect
count was used to record species richness and abundance of butterfly communities
in the different habitat types. For each habitat, the number of species and
individuals, and indices of species richness, evenness and diversity of butterfly
communities were calculated. The results indicated that species richness and
abundance of butterfly communities were low in the natural closed forest, higher
in the disturbed forest, highest in the forest edge, lower in the shrub habitat and
lowest in the agricultural lands. The indices of species richness, evenness and
diversity of butterfly communities were low in agricultural lands and natural
closed forest but highest in the forest edge and shrub habitats. The families
Satyridae and Amathusiidae have the greatest species richness and abundance in
the natural closed forest, with a reduction in their species richness and abundance
from the natural closed forest to the agricultural lands. Species composition of
butterfly communities was different among five different habitat types (40%), was
similar in habitats outside the forest (68%) and was similar in habitats inside the
forest (63%). Diversity and abundance of butterfly communities are not different
between the natural closed forest and the agriculture lands, but species composition
changed greatly between these habitat types. A positive correlation between
the size of species geographical distribution range and increasing habitat disturbance
was found. The most characteristic natural closed forest species have the
smallest geographical distribution range."
461,"Epiphytic bryoflora of the Atlas and Antiatlas Mountains, including a synthesis of the distribution of epiphytic bryophytes in Morocco",Scientific article,Journal of Bryology,"The epiphytic bryoflora of the Atlas and Antiatlas Mountains is catalogued, resulting in a list of 65 taxa (63
mosses and 2 liverworts). Twenty-eight new records are reported: four are new to northern Africa, one is new
to Morocco and 23 are regional novelties. In addition, a synthesis of the distribution of epiphytes in Morocco
is presented, with distributional maps for the main taxa. Five groups of taxa have been established on the basis
of their distribution: widely distributed taxa, Rif taxa, Rif and Middle Atlas taxa, Atlas taxa and taxa with
localized occurrences. From these distributional patterns, it can be inferred that the occurrence of epiphytic bryophytes is mostly influenced by climatic conditions."
462,Saproxylic beetle assemblages of three managed oak woodlands in the Eastern Mediterranean,Scientific article,Zoology in the Middle East,"Oak woodlands belong to the natural vegetation in most Mediterranean regions but
have suffered from a long history of woodland devastation and overgrazing. The remaining woodlands
have been managed in different ways, and we expected this to have effects on the fauna associated
with trees. We investigated three different sites in the Eastern Mediterranean with flightinterception
traps to analyse the impact of woodland management on dead wood and tree structures
and the relevance for saproxylic beetle assemblages. Our results show significant differences
in trunk diameter, stem density and dead wood diversity between the three sites. Old oaks in semiopen
woodland are characterised by diverse stages of dead wood and harboured most saproxylic
species (74 species out of a total of 98) and most individuals. With regard to rarefied species richness,
we found that coppice woodland with a high stem density and medium-sized trees has the
most diverse beetle assemblage (19.7 species per 100 individuals). Species richness was in general
strongly associated with the diameter of the oaks, but, surprisingly, was also of the same level
as species numbers reported from studies in Central Europe. The large number of singletons,
which made up 40 % of the entire sample, may indicate a considerable number of species that
were not trapped. We discuss the impact of different management options on tree shape and
woodland structure, issues which are also important for the saproxylic beetle assemblage associated
with Mediterranean oaks. We conclude that oak woodlands in the Middle East  and especially
those woodlands that have been used and managed in a sustainable way  represent a valuable
resource for insect diversity."
463,"Shrew species diversity and abundance in Ziama Biosphere Reserve, Guinea: comparison among primary forest, degraded forest and restoration plots",Scientific article,Biodiversity and Conservation,"The aim of our study was to compare the shrew community diversity and
structure in gradients of tropical forest degradation and restoration. Four plots within each
of six habitats of the Ziama Biosphere Reserve were surveyed, including primary forest,
secondary forest, cultivated fields, recently (less than 3 years) abandoned fields, young
(1012 years) forest restoration plots, and old (34 years) restoration plots. From August to
November 2003, we pitfall-trapped 2,509 shrews representing 11 species. Shrew species
richness and composition was similar in the six habitat surveyed, while shrew species
abundance varied between habitats. Canopy height and cover, density of stems and trees
and understorey density were shown to constitute important parameters influencing the
abundance of several shrew species. After clear-cutting, restoration of key attributes of the
forest vegetation structure was possible in 1034 years, either by natural regeneration or by
planting of seedlings. The relative abundance of most shrew species was similar between
restoring forest (i.e., young restoration plots or fallows) and primary forest. Considering
the advantages and disadvantages of these two methods of forest restoration, one of the
most suitable management practices to restore forest while preserving shrew biodiversity
could be to perform an alternation of native seedling plantation lines and fallows."
464,A survey of the epiphytic bryophyte flora in the northwest of the Iberian Peninsula,Scientific article,"Cryptogamie, Bryologie","The epiphytic bryoflora growing on trunks of Quercus pyrenaica Willd. and
Q. robur L. has been surveyed throughout an extended área in the northwest of the Iberian
Peninsula. Seventy four species are catalogued (14 liverworts and 60 mosses) with an indication
of their distribution in the área. Knowledge of the regional flora is supplemented
with a total of 44 novelties for 7 of the 8 provinces considered. Substrate affinity for several
facultative epiphytes is discussed on the basis of their frequency on bark. The distri
bution of regionally rare species such as Harpalejeunea molleri, Metzgeria fruticulosa,
M. temperata, Orthotrichum consimile, O. scanicum, O. shawii, Ulota coarctata and Zygodon
viridissimus is used in conjunction with overall species richness and the degree to which
they are representative of the regional flora to assess the local significance of the different
localities and to select a list of hotspots for conservation."
465,Epiphytic bryophytes in harsh environments: the Juniperus thurifera forests,Scientific article,Journal of Bryology,"The forests of Juniperus thurifera are peculiar ecosystems that typically grow on mountains and highplateaux
of the western Mediterranean basin with dry and continental climates. Some previous
surveys suggested that these forests house a rather distinctive epiphytic bryophyte flora. Epiphytic
bryophyte communities were systematically sampled in 19 representative juniper forests, for the first time
spanning all the distribution area of this conifer. The flora consists of 44 species (32 acrocarpous mosses,
10 pleurocarpous mosses and 2 liverworts). Orthotrichum species are the most frequent and abundant in
most of the sampled localities, including some uncommon taxa such as Orthotrichum vittii which shows
a clear association with J. thurifera. Epiphytic bryophyte communities on this species were highly
homogeneous, although they can be arranged into different groups in response to environmental conditions.
Typically, the epiphytic communities of the Mediterranean juniper forests comprise a distinct combination of
xerophytic taxa that enhances the interest of these ecosystems and provides new fields for their research and
conservation."
466,Forest stand structure and composition in 96 sites along environmental gradients in the central Western Ghats of India,Scientific article,Ecology,"This data set reports woody plant species abundances in a network of 96 sampling sites spread across 22000 km2 in central Western Ghats region, Karnataka, India (74°15'  75°40' E; 15°15'  13°30' N). Due to its varied climate and diverse topography, the study area, which is part of the Western GhatsSri Lanka biodiversity hotspot, supports a wide array of non-equatorial tropical habitats including wet evergreen, moist and dry deciduous intact as well as degraded forests and scrublands. These formations, floristically moderately rich and diversified, are characterized by a lower rate of endemism than in the southern part of the Western Ghats. This data paper provides abundance and girth data for 76813 trees and lianas of 446 species collected in 96 sampling sites during 19961997. A total of 61965 individuals >10 cm girth at breast height (gbh) were recorded in 96 1-ha macroplots, while 14848 individuals <10 cm gbh but >1 m height were sampled in three 0.1-ha microplots located within each macroplot. Additional data regarding the stand structure (average canopy height, percent canopy cover, number of strata) and the level of degradation are available for the macroplots, along with environmental data derived from other sources and analyses, such as soil types, rainfall, length of the dry season, and altitude. These data have been used to produce ecological research papers as well as to elaborate conservation value maps and recommendations toward sustainable management of the forests of the central Western Ghats region."
467,Invertebrate community richness in New Zealand kiwifruit orchards under organic or integrated pest management,Scientific article,"Agriculture, Ecosystems and Environment","To compare the effects of two different forms of sustainable agriculture on native taxa, this study assessed
invertebrate communities in ten matched pairs of kiwifruit orchards managed under either organic or
integrated pest management (IPM) systems in New Zealand. Three types of trap were used to collect
as many different invertebrate taxa as possible in three trapping periods spread over the 2007/08 fruit
growing season. A total of 602 taxa were identified in the samples. Significantly more taxa were collected
from the organic orchards than the IPM orchards in all three periods. The invertebrate assemblages
collected from the two orchard types were also significantly different in both January and March 2008.
There was no significant difference in the proportions of native and endemic species collected from the
two orchard types, although up to 40% of the identified species differed between the two management
systems. Higher numbers of predators, parasitoids, herbivores, fungivores and omnivores in the organic
orchards compared with those under IPM may indicate the presence of more resilient ecosystem services
in these orchards."
468,Ecological impacts of desert plantation forests on biodiversity,Scientific article,African Journal of Ecology,"This investigation involves the comparison of the diversity
of understorey vegetation of four desert planted forests
with the adjacent desert areas. Spatial and temporal
variations in species composition and structure were
compared, and alpha and beta diversities were compared
for the field data collected from sampled sites. The diversity
of native desert species decreased from 66% in desert
areas to 44% of the total recorded plants inside the
forests. Meanwhile, the percentage of agricultural weed
species increased in forests to >twofold more than that
recorded in desert areas. Plant communities in forest
stands shared <50% of their species with adjacent vegetation
in desert stands. The percentage of variation in
species composition was >340% in some forests
compared with the desert areas. Alpha diversity and
b-diversity were significantly higher in forest stands than
in the desert. Spatial and temporal variations in species
diversity were correlated with type of tree canopy and
irrigation system. Planted forests had significant negative
effects on the diversity of native desert shrubs and trees.
Using flood irrigation and more spacing between trees
might help in conserving the floristic diversity of desert
shrubs and trees at the forest floor."
469,Collapse of an arctic bird community resulting from ungulate-induced loss of erect shrubs,Scientific article,Biological Conservation,"Rapid, but contrasting, changes in the extent of erect thicket-forming shrubs is presently seen in the Arctic,
either resulting from a warmer climate (increasing extent) or intensified herbivory (decreasing
extent). We investigated the impact of loss of willow shrubs on a bird community in arctic riparian sediment
plains in northern Norway subject to varying intensities of reindeer browsing. In riparian habitats
where willow thickets had been lost, bird species richness was more than halved compared to habitats
where some patches of thickets were still present. As could be expected species previously suggested
to use erect woody vegetation as nesting places and/or foraging habitats were most consistently
impacted. However, even some open ground habitat specialists appeared to be negatively impacted, possibly
due to loss of spatial spill-over effects of insects from willow thickets. To preserve low-arctic avian
biodiversity in a warming climate, management should strive to identify levels of ungulate browsing that
strike the balance between shrub-encroached and shrub-denuded arctic tundra."
470,Rainwater harvesting and arthropod biodiversity within an arid agro-ecosystem,Scientific report (published),"Agriculture, Ecosystems and Environment","The Bedouin of South Sinai, Egypt, use a technique known as runoff agroforestry to capture rainwater
and increase the agricultural potential of the arid landscape. Utilising water that would otherwise be
lost from the vicinity allows the creation of multi-strata orchards with higher plant densities than the
surrounding environment. We used pitfall traps to compare ground arthropod communities within 15
agricultural gardens to those in the external habitat. Total arthropod abundance and species richness
were significantly higher inside the gardens, with no loss of alpha-diversity. Species level analysis of ants
revealed that six out of seven recorded species were more abundance inside the gardens. There were
significant differences in the responses of Coleopteran functional groups, with scavengers occurring in
higher numbers inside, predators higher outside, and herbivores showing no difference. There was a high
presence of the ant Monomorium venustum and the scavenger beetle Lagria sp. inside the gardens, but
no negative impacts on species accumulation rates or alpha-diversity. In conclusion, runoff agroforestry
seems to enhance local arthropod abundance, without a strong negative affect on biodiversity."
