,Abstract,Journal,Title
373,we evaluated the relationship between amphibian and reptile diversity and microhabitat dynamics along pastureedgeinterior ecotones in a tropical rainforest in veracruz mexico to evaluate the main correlation patterns among microhabitat variables and species composition and richness ecotones were each divided into three habitats pasture forest edge and forest interior with three transects per habitat and sampled four times between june and may using equal day and night efforts we measured environmental variables describing the microclimate vegetation structure topography and distance to forest edge and streams after sampling transects man hours effort we recorded amphibians belonging to species pasture edge and interior species and reptiles belonging to species pasture edge and interior species there was a difference in species composition between pasture and both forest edge and interior habitats a high correlation between distance to forest edge and temperature understorey density canopy cover leaf litter cover and leaf litter depth was found there was also a strong relationship between the composition of amphibian and reptile ensembles and the measured environmental variables the most important variables related to amphibian and reptile ensembles were canopy cover understorey density leaf litter cover and temperature based on amphibian and reptile affinity for the habitats along the ecotone species were classified into five ensembles generalist pasture forest forest edge and forest interior species we detected six species that could indicate good habitat quality of forest interior and their disappearance may be an indication of habitat degradation within a fragment or that a fragment is not large enough to exclude edge effects different responses to spatial and environmental gradients and different degrees of tolerance to microclimatic changes indicated that each ensemble requires a different conservation strategy we propose to maintain in the los tuxtlas biosphere reserve the forest remnants in the lowlands that have gentler slopes and a deep cover of leaf litter a dense understorey and high relative humidity and low temperature to buffer the effects of edge related environmental changes and the invasion of species from the matrix,Biological Conservation,herpetofauna diversity and microenvironment correlates across a pasture edge interior ecotone in tropical rainforest fragments in the los tuxtlas biosphere reserve of veracruz mexico
374,we examined the relationship of climatic variables and vegetation parameters with the distribution and abundance of anurans in a very humid low montane forest in the western region of valle del cauca colombia we sampled six transects in three types of habitat secondary forest early secondary forest and shrub area over a period of seven months we collected data on several forest characteristics vegetation cover average heights and densities of different strata depth of leaf litter air temperature soil temperature and relative humidity in each site five species of genus pristimantis and one of genus eleutherodactylus were registered being the most abundant p brevifrons with a total of individuals followed by p palmeri with and p erythropleura with the distribution of species differed between habitats and climatic variables the abundance of the species in the secondary forest was correlated with the soil temperature whereas relative humidity was correlated with species abundance in early secondary forest and shrub we suggest the existence of three different behaviors within the group with respect to the following structural parameters vegetation cover average height m of the subarboreal ar stratum density of this stratum ind m density ind m of the bush stratum ar and thickness of the leaf litter layer cm we identify three groups of species defined according to the following criteria group i comprised of those species that tolerate moderately degraded environments p brevifrons p erythropleura e mantipus group ii present in more conserved environments p calcaratus p thectopternus and group iii comprised by p palmeri which is present in medium to highly degraded environments,Caldasia,relationship between anurans diversity and successional stages of a very humid low montane forest in valle del cauca southwestern of colombia
375,habitat loss is known to be the main cause of the current global decline in biodiversity and roads are thought to affect the persistence of many species by restricting movement between habitat patches however measuring the effects of roads and habitat loss separately means that the configuration of habitat relative to roads is not considered we present a new measure of the combined effects of roads and habitat amount accessible habitat we define accessible habitat as the amount of habitat that can be reached from a focal habitat patch without crossing a road and make available a gis tool to calculate accessible habitat we hypothesize that accessible habitat will be the best predictor of the effects of habitat loss and roads for any species for which roads are a major barrier to movement we conducted a case study of the utility of the accessible habitat concept using a data set of anuran species richness from ponds near a motorway we defined habitat as forest in this example we found that accessible habitat was not only a better predictor of species richness than total habitat in the landscape or distance to the motorway but also that by failing to consider accessible habitat we would have incorrectly concluded that there was no effect of habitat amount on species richness,Landscape Ecolology,accessible habitat an improved measure of the effects of habitat loss and roads on wildlife populations
376,in this study we compared ground beetles carabidae from a range of different forest frag ments along an urbanization gradient in brussels belgium we address the following ques tions i how does the degree of urbanization in the surrounding habitat affect forest beetles and does it interact with the effects of patch size and distance to forest edge ii do these factors have a different effect at the level of individual species habitat affinity groups or total community during we sampled forest plots in forest patches ranging in size from to ha the beetles were captured using transects of pitfall traps from the edge to a distance of m into each woodland and identified to species level effects of urbanization forest size and forest edge were evaluated on total species number abundance and habitat affinity groups and ten abundant widespread model cara bid species overall the effects of urbanization forest size and edge effects slightly influ enced total species richness and abundance but appeared to have a major effect on ground beetle assemblages through species specific responses more urbanized sites had significantly fewer forest specialists and more generalist species large forest fragments were favoured by forest specialist species while generalist species and species frequently associated with forest forest generalists dominated the smaller forests forest edges mainly harboured generalist species while forest specialist species were more frequent into the forests if the forest patches were large enough otherwise they disappeared due to the destruction or impoverishment of their habitat our results show the importance of differ entiating between habitat affinity especially habitat generalists versus specialists the lat ter having a higher value in nature conservation and merely the quantity of species represented in human dominated areas,Biological Conservation,the effects of forest patch size and matrix type on changes in carabid beetle assemblages in an urbanized landscape
377,due to cattle ranching and agriculture natural environments have been transformed into fragmented landscapes anthropogenic disturbance affects vegetation structure and microclimate and changes patterns of snake diversity this study determines snakes diversity in four habitats that differ in degree of anthropogenic disturbance ongorgona island in the colombian pacific visual encounter surveys were conducted during june july and february april along linear transects encountering individuals belonging to snake species we determined inventory completeness to be between and highest species richness was found in the secondary forest followed by primary forest and coconut plantations eight six and six species respectively highest species complementarity was detected between the prison and coconut plantations and the prison and primary forest in conserved habitats secondary and primary forests snake diversity doubled while in the prison and coconut plantations snake abundance increased during the dry season it is possible that anthropogenic disturbance negatively affects leptophis ahaetulla micrurus dumerili oxybelis brevirostris and tantilla longifrontalis snake species it is important to invest more effort in snake capture in conserved environments than in disturbed habitats data on spatio temporal dynamics in snake ensembles are essential to correctly focus conservation plans and management of the snake fauna in disturbed environments,Caldasia,spatio temporal dymanics of snake diversity in four habitats with different degrees of anthropogenic disturbance in the gorgona island national natural park in the colombian pacific
378,the community forestry program has been considered successful in improving the environmental situation in the hills of nepal by enhancing the vegetation coverage of degraded sites and by improving the supply of forest products to farmers the restoration measures are considered sustainable if the ecosystems are self supporting and resilient against perturbation a community forest cf in the mid hills of nepal has been assessed for restoration success based on the comparison of vegetation structure and species diversity along a disturbance gradient using a semi protected natural forest as a reference site in general the community forest management cfm was able to re establish forests on formerly severely degraded sites forest operations carried out during cfm have altered plant community composition species richness and distribution age class distribution of trees and vegetation structure as a result the cf was being transformed into a less diverse regular forest although the overall vascular plant diversity was retained with sufficient niches within the understorey vegetation,Banko Janakari,diversity of vascular plant communities along a disturbance gradient in a central mid hill community forest of nepal
379,patterns of biodiversity environment and human impact were studied in sample plots in an ha forest area in a rural mountain area of nepal that is administrated by the annapurna conservation area project alpha beta and gamma diversity was measured or estimated for six groups of organisms trees shrubs climbers herbs polypores and mycorrhizal fungi and the recorded patterns were correlated with a set of environmental variables human impact in terms of fuelwood collection selective cutting and grazing was found to influence species diversity patterns in all organism groups species richness of trees climbers and polypores at plot level alpha diversity generally responded negatively to human impact whereas species richness of herbs and shrubs showed a positive relation species turnover beta diversity measured as length of the dca first axis was significantly correlated to distance to village for all species groups this indicates that the human impact is very important for the biodiversity patterns in the study area and that biodiversity connected to undisturbed forest habitats are potentially threatened in the area the results are discussed in the context of practical conservation a proposal for future management zones addressing protection of biodiversity without limiting the local use of the forest resource is put forward,Biodiversity and Conservation,forest biodiversity gradients and the human impact in annapurna conservation area nepal
380,hoverflies diptera syrphidae in agroecosystems have gained much attention recently because the larvae of some species are efficient control agents of crop aphids and adult hoverflies provide pollination services to wild flowers and flowering crops we assessed the density and species richness of hoverflies in calcareous grasslands which constitute a semi natural habitat for adult hoverflies by means of six transect walks from april to september our results show that local habitat factors and landscape factors influenced hoverfly communities and that their effects on hoverfly richness and density were quite contrary hoverfly species richness was affected by factors related to resource heterogeneity such as species richness of flowering plants area of grassland habitat and landscape diversity which all imply the availability of diverse micro and macrohabitats for adults and larvae hoverfly density in contrast depended on factors related to resource quantity such as the amount of pollen and nectar resources for adults and the amount of larval macrohabitats in the surrounding matrix therefore both adult and larval habitat requirements have to be considered when analysing hoverfly communities in agricultural landscapes species guilds responded to specific land use types such as annual crops and woodland at different spatial scales indicating variation in species mobility and in the degree of spillover effects among neighbouring landscape elements,Basic and Applied Ecology,contrasting resource dependent responses of hoverfly richness and density to landscape structure
381,hydrology and management affect dipteran communities in wetlands and they themselves have the potential to influence prey communities turloughs are temporary lakes unique to ireland their vegetation is ecotonal on a dry wet continuum and due to differing summer management practises shows a diversity of vegetation lengths marsh flies sciomyzidae a taxon that has potential as wetland bio indicators were chosen to investigate management hydrological and prey effects on turloughs summer collections of sciomyzidae were made on homogeneous zones across ten turloughs at each position that flies were collected vegetation surveys were conducted to utilise ellenberg indices as surrogate environmental variables winter collections of molluscs were made on zones sciomyzidae showed maximum total abundance and species richness at sites intermediate on the dry wet gradient supporting the intermediate disturbance hypothesis indicator species analysis gave site specific preferences most species favoured the site with the longest vegetation but the smallest species showed a significant preference for the site with the shortest vegetation across the full hydrological gradient known terrestrial snail killers were indicators of drier poor grasslands and known hygrophilous species were indicators of the wettest zones generalised linear models for abundance of the dominant species consistently showed negative relationships with total prey abundance however sciomyzid communities showed no significant co structure with prey communities but did with sampling conditions and management  hydrological variables sciomyzid communities change qualitatively and quantitatively with vegetation structure and hydrology and correlative evidence for predation pressure by the dominant species highlights the potential of sciomyzidae to control the intermediate host of fascioliasis,Insect Conservation and Diversity,hydrology and management of turloughs temporary lakes affect marsh fly sciomyzidae diptera communities
382,land use change is considered one of the most radical and extensive disturbances that have influenced plant distributions and diversity patterns in forest understorey communities in much of europe and eastern north america in forests growing on former agricultural land local species diversity and community differentiation among sites are generally reduced compared with ancient forests i e forests with no historical record of agriculture yet no study has determined how the compositional differences created by former land use change over time as the forest sites recover fromformer agricultural use here we resurveyed vegetation plots half of the plots in ancient and half in post agricultural forest to demonstrate how three decades of forest development have changed the compositional differences between post agricultural and ancient forest sites the impact of land use history and survey date was tested on two measures of species diversity and two measure of community divergence the data indicate that the imprint of former agricultural land use persisted over time yet not through compositional stability parallel and strong vegetation shifts occurred in both ancient and post agricultural forest the species diversity decreased and local species cover strongly diverged which indicates community drift the observed understorey changes did thus not support the commonly accepted model of community development in post agricultural forests i e the diversity did not increase and the vegetation did not become more similar to the ancient forest vegetation over time the changes in species composition were associated with an increase of common competitive species at the expense of ancient forest indicator species the source populations of ancient forest species have been gradually depleted so the recovery of post agricultural forests becomes even more precarious synthesis while land use history is likely to persist as the primary predictor of local species diversity and community divergence other environmental drivers may additionally structure forest understorey communities and lead to biotic impoverishment and pervasive species reordering on the time scale of only decades,Journal of Ecology,unexpected understorey community development after years in ancient and post agricultural forests
383,concerns for short term effects of global changes on biodiversity have been reported from several regions including mediterranean areas highly affected by desertification processes beside climate changes human activities are the primary cause of land degradation in arid semi arid and dry sub humid areas along a typical mediterranean land use gradient in w sardinia italy many favourable environments for lichen growth were intensively investigated and epiphytic and epilithic species richness and abundance were assessed to evaluate the response of lichen diversity to land use intensity and other predictors related to desertification processes by using non metric multidimensional scaling nms analysis epilithic lichen diversity changed along several gradients a land use gradient ranging from forested to non forested sites climatic moisture and management quality epiphytic diversity was associated to a gradient of decreasing sensitivity to desertification esa index based on multi response permutation analysis the overall land use categorization showed significant compositional dissimilarities both in epilithic and epiphytic lichen communities between thermophilous quercus forests pasture and arable lands shrublands and garigues agroforestry lands quercus suber plantations and thermophilous pinus forests,Bibliotheca Lichenologica,land use intensity drives the local variation of lichen diversity in mediterranean ecosystems sensitive to desertification
384,the comoro islands are a hotspot of endemicity and are of global conservation importance however despite rapid and ongoing loss of the remaining natural forest habitats no terrestrial protected areas have been established here we investigate the distribution patterns of birds and butterflies on the island of anjouan to identify areas important for the persistence of endemic species two components of the bird and butterfly communities were investigated species richness a diversity and community dissimilarity b diversity we recorded the community composition of each taxon at multiple sites and modelled species richness as a function of seven environmental predictors endemic bird richness was greatest in mature forest at high altitudes whereas endemic butterfly richness peaked at mid altitudes in disturbed forest there was low cross taxon congruence between areas with high endemic richness less than of the island represented areas of overlap between endemic bird and butterfly diversity hotspots richness of both non endemic birds and non endemic butterflies was highest in non forest habitats using generalised dissimilarity modelling we found a strong distinction between mid and high altitude communities for butterflies and between forest and non forest communities for birds although butterflies exhibited higher b diversity than birds our data represent the first description of the distributions of taxa of any kind for anjouan and will be used to inform current plans to implement the countrys first terrestrial protected area,Biological Conservation,community level diversity modelling of birds and butterflies on anjouan comoro islands
385,two contrasting trajectories for vegetation restoration in agricultural landscapes are secondary succession following cropland abandonment that can regenerate woodlands passive restoration and conversion of cropland to tree plantations active restoration which have mostly focused on pine species in the mediterranean basin we compared the effects of these two contrasting trajectories of vegetation restoration on bird assemblages in central spain vegetation structure differed in the two restoration trajectories pine plantations attaining higher tree cover and height and m respectively but lower strata complexity than secondary shrubland and holm oak woodland which attained and m of tree cover and height respectively bird species richness differed in stands under active or passive restoration trajectories the former collecting a higher total number of species species per ha plot than the latter species per plot the number of forest species increased with vegetation maturity in both restoration trajectories but especially in stands under active restoration the occurrence of woodland generalist species increased and of species inhabiting open habitats decreased in actively restored stands being some of these latter species of high conservation priority in the european context but relatively common at the regional level bird species inhabiting pine plantations had broader habitat breadth at the regional level than those inhabiting secondary shrublands and woodlands maximum regional density did not differ between both restoration trajectories but it increased with development of the herbaceous layer only at the secondary succession trajectory the relative importance of species of european biogeographic origin was higher in mature pine plantations of total bird abundance than in mature holm oak woodlands whereas that of mediterranean species was considerably higher in the latter than in the former bird assemblages of relatively small patches of pine plantations are unable to reflect the regional avifauna in contrast with the relationships between local and regional assemblage characteristics that can be found in isolated natural forests we conclude that programs of vegetation restoration should base upon a range of approaches that include passive restoration active restoration with a variety of tree and shrub species and mixed models to conciliate agricultural production vegetation restoration and conservation of target species,Forest Ecology & Management,differential effects of vegetation restoration in mediterranean abandoned cropland by secondary succession and pine plantations on bird assemblages
386,extensive agriculture and timber exploitation are the principal causes of forest destruction in ivory coast this country has an annual deforestation rate of to which is the highest in africa most ivorian forests consist of protected areas and of forest fragments embedded in a secondary landscape composed of a mosaic of cultivated fields fallows and perennial crops plantations southwestern côte divoire which is our study area is one of the rare areas where we can still find significant continuous forests blocks classified forests of goin débé and cavally and taï national park this part of ivorian forest is rich in narrow endemic species so called sassandriennes species and is one of the hotspots of biodiversity considering the floristic characteristics of the study area the human pressure which also extends to protected areas and the disastrous consequences on the biodiversity it becomes a critical issue to assess the impact of forest fragmentation on floristic composition and diversity results of this study indicate that impact of isolation and further direct human disturbances on forest fragments lead to an increase of secondary and pioneers strategies and liana life forms however resilience of a high proportion of primary species including sassandriennes endemics in fragments induce an increase in global richness and diversity and demonstrate that promoting their conservation in southwestern ivory coast can substantially contribute to general conservation of plant species political authorities and conservation agencies should become aware of the urgent need of appropriate conservation policy for these forest fragments,Candollea,diversity family dominance life forms and ecological strategies of forest fragments compared to continuous forest in southwestern côte d ivoire
387,as the destruction and severe disturbance of primary tropical forest continues it is important to understand how these forests may recover from perturbations considerable work has been done on above ground recovery but below ground processes are less well understood to determine changes in root mass during tropical secondary succession in lowland forests of central borneo samples were taken from stands of increasing ages since abandonment of agriculture and y with a primary forest control six plots from y old stands and three from all other ages root mass and elemental concentrations were determined and soils were chemically analysed there was no increase in root mass with stand age for fine root mm diameter or small root mm diameter mass but there was a trend for coarse root mass  mm diameter to increase with stand age negative correlations were shown between root mass and soil nutrient status fine root c concentrations increased with stand age but there was no clear effect of stand age on fine root n or p fine root mass did not increase significantly with stand age suggesting a rapid recovery instead soil nutrient status appeared to be the most important factor controlling root mass of the soil nutrients measured in this study n had a stronger control over root mass than p suggesting that this element may be limiting during secondary succession in tropical lowland forests of borneo,Journal of Tropical Ecology,below ground secondary succession in tropical forests of borneo
388,madagascar is a biodiversity hotspot threatened by habitat loss which is detrimental to the future survival of forest dwelling herpetofauna for conserva tion purposes it is essential to determine how species respond to different types of anthropogenic habitat alteration we conducted standardized field surveys a variation of visual encounter survey to assess species richness abundance and diversity among forest clear cut and orchard habitat types in montagne des francais north madagascar forest sites proved to be very different from clear cut and orchard sites with regards to habitat structure lizard species richness abundance and diversity were significantly lower in clear cut sites with only of the observed forest diversity recorded this shift in species occurrence suggests that lizards are particularly sensitive to this type of habitat alteration orchard cultivation did not affect lizard species richness to the same extent as of the observed forest diversity was recorded in this habitat type furthermore lizard abundance was significantly higher in orchard habitat these observations indicate that although anthropogenic activity can have an adverse effect on the lizard fauna of a given site it will seldom lead to a total loss of diversity as species typical of pristine forest specialists are replaced by species adapted to secondary habitats often generalists our results support the contention that anthropogenic habitat alteration can have a strong negative influence on lizard communities researchers should continue to identify which species may be lost or become more vulnerable in future as a result of population decline in response to anthropogenic habitat alteration,Animal Conservation,effects of anthropogenic activities on lizard communities in northern madagascar
389,we study how endemic native and introduced arthropod species richness abundance diversity and community composition vary between four different habitat types native forest exotic forest of cryptomeria japonica semi natural pasture and intensive pasture and how arthropod richness and abundance change with increasing distance from the native forest in adjacent habitat types in santa maria island the azores arthropods were sampled in four m long transects in each habitat type arthropods were identified to species level and classified as azorean endemic single island endemic sie native or introduced the native forest had the highest values for species richness of azorean endemics sies and natives and also had highest values of azorean endemic diversity fishers alpha in contrast the intensive pasture had the lowest values for endemic and native species richness and diversity but the highest values of total arthropod abundance and introduced species richness and diversity arthropod community composition was significantly different between the four habitat types in the semi natural pasture the number of sie species decreased with increasing distance from the native forest and in the exotic forest the abundance of both azorean endemics and sies decreased with increasing distance from the native forest there is a gradient of decreasing arthropod richness and abundance from the native forest to the intensive pasture although this study demonstrates the important role of the native forest in arthropod conservation in the azores it also shows that unmanaged exotic forests have provided alternative habitat suitable for some native species of forest specialist arthropods particularly saproxylic beetles,Journal of Insect Conservation,the effects of land use change on arthropod richness and abundance on santa maria island azores unmanaged plantations favour endemic beetles
390,we studied lizard assemblages assessing abundance richness and nestedness in a fragmented landscape of central chile including native temperate forest forest fragments and commercial pine plantations fragmentation and plantations increase the availability of edge habitats triggering both the support of additional lizard species absent at the continuous forest and the nestedness of lizard assemblages where interior habitats of forest and plantations are nested subsets of habitat edges a vulnerable lizard liolaemus tenuis thrives at fragments in abundance similar to the continuous forest therefore remnants ought to be considered in the conservation of lizard assemblages,European Journal of Wildlife Research,lizard assemblages in a fragmented landscape of central chile
391,inferences about species loss following habitat conversion are typically drawn from short term surveys which cannot reconstruct long term temporal dynamics of extinction and colonization a long term view can be critical however to determine the stability of communities within fragments likewise landscape dynamics must be considered as second growth structure and overall forest cover contribute to processes in fragments here we examine bird communities in amazonian rainforest fragments of  ha beginning before the fragments were isolated in the s and continuing through using a method that accounts for imperfect detection we estimated extinction and colonization based on standardized mist net surveys within discreet time intervals  preisolation samples and  post isolation samples between preisolation and all fragments lost species in an area dependent fashion with loss of as few as of preisolation species from ha fragments but up to in ha fragments analysis of individual time intervals revealed that the result was not due to gradual species loss beginning at isolation both extinction and colonization occurred in every time interval in the last two samples and extinction and colonization were approximately balanced further of species netted before isolation were detected in at least one fragment in although a small subset of species is extremely vulnerable to fragmentation and predictably goes extinct in fragments developing second growth in the matrix around fragments encourages recolonization in our landscapes species richness in these fragments now reflects local turnover not long term attrition of species we expect that similar processes could be operating in other fragmented systems that show unexpectedly low extinction,PLoS ONE,understory bird communities in amazonian rainforest fragments species turnover through years post isolation in recovering landscapes
392,diversity of butterfly communities of a tropical rain forest of bu gia map national park in south vietnam was studied in four different habitat types the natural forest the disturbed forest the bamboo forest and the stream sides in the forest in december and april a total of species with individuals of papilionoidae except lycaenidae were recorded the proportion of rare species tends to decrease from the natural forest to the stream sides while the proportion of common species tends to increase from the natural forest to the stream sides the stream sides have the greatest individual number while the disturbed forest contains the greatest species number the bamboo forest has the least species and individual numbers the stream side environment in the forest plays an important role in conserving butterfly abundance while the bamboo shows the poorest butterfly diversity,ISRN Zoology,diversity pattern of butterfly communities lepidoptera papilionoidae in different habitat types in a tropical rain forest of southern vietnam
393,urban landscapes support a high and rich diversity often occurring as unusual or unique communities urban green areas are a vital part of the urban landscape providing contact with wildlife and environmental services with additional socio ecological benefits to the overall quality of life the composition and diversity of vascular plants and macromycetes were assessed in an urban green area of the city of coimbra central portugal comprising three landscape types oak eucalyptus and olive stands with historical periurban agriculture and forest uses we recorded taxa of plants including three taxa with important ecological value quercus suber quercus faginea subsp broteroi and ruscus aculeatus and taxa of macromycetes the pattern of land use resulted in the establishment of different plant and soil fungal communities composition and diversity among these landscapes the plant richness and diversity indices revealed similar trends within the landscape types with the highest values found in the olivestands due to the presence of herbaceous that decreased with tree cover density richness and diversity of macromycetes were higher in oak stands especially the symbiotic ectomycorrhizal ecm fungal communities although not significant higher saprobic fungi richness and diversity values were found in the eucalyptus stands given the undoubted ecological complexity of urban green areas and the value of these ecosystems for society in terms of goods and services it is imperative to select bioindicators that are readily accessible and reliable to design balanced urban ecosystems by linking wildlife and biological parameters to human well being,Landscape and Urban Planning,biodiversity in urban ecosystems plants and macromycetes as indicators for conservation planning in the city of coimbra portugal
394,a comparative study of the species composition and encounter rates of mammals g in two different protected area categories was conducted in the bia goaso forest block in western ghana from april to february one hundred and eighty seven line transects were systematically distributed in an extensive network of wildlife reserves and forest reserves mammal signs droppings and tracks belonging to twenty three species rodents primates carnivores and ungulates representing families and genera were recorded for the survey period the most abundant species recorded were brush tailed porcupine antherurus africanus mammal signs marsh cane rat thryonomys swinderianus maxwells duiker cephalophus maxwelli and bushbuck tragelaphus scriptus large mammals including elephant loxodonta africana cyclotis buffalo sycerus caffer nanus chimpanzee pan troglodytes verus and leopard panthera pardus had relative abundance of less than mammal density was significantly greater mann whitney u test u p in wildlife reserves signs per km than forest reserves signs per km species richness in wildlife reserves species was however not very different u p from forest reserves species the forest reserves seem to be achieving only partial success in protecting wildlife whereas wildlife reserves seem to be considerably more effective although not entirely successful the results calls for renewed efforts to include more wildlife protection in the management priorities of ghanas forest reserves,Journal of Biodiversity and Environmental Sciences (JBES),effect of protected area category on mammal abundance in western ghana
395,although partial harvesting has been proposed as a measure for maintaining compositional and structural characteristics of natural old growth stands it has not been rigorously evaluated the first objective of this study was to compare forest composition and structural characteristics after killing a portion of canopy trees and after partial cuts in boreal mixedwoods of eastern canada by natural disturbances the second objective was to evaluate the effectiveness of the partial harvest treatments in meeting the silvicultural objectives of increased growth of residual stems and advances in regeneration higher densities of shade intolerant species were found after partial cuts when comparedwith naturally disturbed stands similar diameter distributions of residual living trees and densities of shade tolerant species were found following all disturbances increase in growth was similar for all height classes m  m  mand m of balsam fir abies balsamea advance regeneration in naturally disturbed and partially cut stands in the overstory trembling aspen populus tremuloides white birch betula papyrifera white spruce picea glauca and balsam fir had growth increases after partial cuts whereas black spruce picea mariana did not this study provides evidence that partial cutting in these mixedwood stands may emulate the effects of natural mortality resulting from natural partial disturbances by retaining key compositional and structural attributes and inducing increased growth rates in residual trees,Forestry,effects of partial cutting and partial disturbance by wind and insects on stand composition structure and growth in boreal mixedwoods
396,parallel declines in insect pollinated plants and their pollinators have been reported as a result of agricultural intensification intensive arable plant communities have previously been shown to contain higher proportions of self pollinated plants compared to natural or semi natural plant communities though intensive grasslands are widespread it is not known whether they show similar patterns to arable systems nor whether local and or landscape factors are influential we investigated plant community composition in pairs of organic and conventional dairy farms across ireland in relation to the local and landscape context relationships between plant groups and local factors farming system position in field and soil parameters and landscape factors e g landscape complexity were investigated the percentage cover of unimproved grassland was used as an inverse predictor of landscape complexity as it was negatively correlated with habitat type diversity intensive grasslands organic and conventional contained more insect pollinated forbs than non insect pollinated forbs organic field centres contained more insect pollinated forbs than conventional field centres insect pollinated forb richness in field edges but not field centres increased with increasing landscape complexity unimproved grassland within and km radii around sites whereas non insect pollinated forb richness was unrelated to landscape complexity pollination systems within intensive grassland communities may be different from those in arable systems our results indicate that organic management increases plant richness in field centres but that landscape complexity exerts strong influences in both organic and conventional field edges insect pollinated forb richness unlike that for non insect pollinated forbs showed positive relationships to landscape complexity reflecting what has been documented for bees and other pollinators the insect pollinated forbs their pollinators and landscape context are clearly linked this needs to be taken into account when managing and conserving insect pollinated plant and pollinator communities,PLOS ONE,organic farming and landscape structure effects on insect pollinated plant diversity in intensively managed grasslands
397,it is a globally important challenge to meet increasing demands for resources and at the same time protect biodiversity and ecosystem services farming is usually regarded as a major threat to biodiversity due to its expansion into natural areas we compared biodiversity of bees and wasps between heterogeneous small scale farming areas and protected forest in northern coastal belize central america malaise traps operated for three months during the transition from wet to dry season farming areas consisted of a mosaic of mixed crop types open habitat secondary forest and agroforestry mean species richness per site alpha diversity as well as spatial and temporal community variation beta diversity of bees and wasps were equal or higher in farming areas compared to protected forest the higher species richness and community variation in farmland was due to additional species that did not occur in the forest whereas most species trapped in forest were also found in farming areas the overall regional species richness gamma diversity increased by with the inclusion of farming areas our results suggest that small scale farming systems adjacent to protected forest may not only conserve but even favour biodiversity of some taxonomic groups we can however not exclude possible declines of bee and wasp diversity in more intensified farmland or in landscapes completely covered by heterogeneous farming systems,PLOS ONE,high bee and wasp diversity in a heterogeneous tropical farming system compared to protected forest
398,context understanding the variability of vegetation distribution and its determinants is a central issue for addressing the effects of edges on ecological processes recent studies have revealed inconsistencies in the patterns of responses to edge effects that raise important questions about their determinants we investigated the edge effect response patterns by adapting a recently proposed continuous approach to the case of small forest fragments in southwestern france methods we surveyed forest understory vegetation composition species richness and percent cover and abiotic variables soil temperature moisture ph and canopy openness along transects across hard forest edges we tested five statistical models to describe the response pattern of each variable over all transects and per transect we then compared the response patterns as a function of the attributes of the edge orientation topography and adjacent land cover and forest patch size results over all transects a general decreasing trend was observed for all variables as the distance from the edge increased in the individual transects we evidenced a large variability in the response patterns that was not related to edge attributes or to patch size,Annals of Forest Science,patterns of forest vegetation responses to edge effect as revealed by a continuous approach
399,mediterranean type ecosystems are one of the most affected environments by habitat loss and fragmentation due to urban development however only few studies have evaluated the effects of urbanization on the biodiversity of remnant fragments in these ecosystems this study aims to evaluate the effects of urban development over small mammal assemblages inhabiting isolated forest fragments of an urban area of chilean mediterranean zone we compared abundance and richness of small mammal assemblages of six remnant fragments within an urban matrix and six fragments similar in area and habitat characteristics with those of urban area but surrounded by a rural matrix we found that small mammal assemblages differ considerably among fragments types urban vs rural with lack of endemic species from urban fragments and with high proportion of introduced rodents in urban fragments furthermore abundance of small mammals was higher in rural than in urban fragments in urban areas small mammal abundance and richness were not correlated with any of the explanatory variables assessed woody cover flora heterogeneity fragment area perimeter area ratio however in rural fragments small mammal richness was negatively correlated with flora heterogeneity and the abundance of small mammals was positively correlated with perimeter area ratio these results reveal important differences within the effects of fragmentation over small mammal assemblages among the two types of fragments assessed our findings suggest that in forest fragments isolated by urbanization larger areas with good quality habitats are not sufficient to maintain native small mammal population,Urban Ecosystems,small mammal assemblages in fragmented shrublands of urban areas of central chile
