Abstract,Journal,PMID,Title
a population study of the shag phalacrocorax aristotelis l started on the farne islands in and continued until many breeding individuals had originally been ringed as chicks and the majority of the population consisted of individually marked birds of known age mean annual adult survival was normally but and respectively during the red tides of and survival after the first year and second year was not affected to an important extent by age all the nest sites were ranked according to their physical characteristics and suitability for breeding only of the sites which were used during the study were considered to be entirely satisfactory a multiple regression analysis was carried out on the variation in breeding success of pairs of the total for which twelve variables were measured breeding success was much better in the years after the red tide of but the regression coefficients of the independent variables were similar it was possible to account for fifty five percent of the individual variation in the seasonal start of laying the most important factors here were age of the partners with the contribution by the male and female equal the oldest birds on the best sites started to lay weeks earlier than the youngest on the poor sites but the mean date of laying of an age class varied by as much as weeks from year to year depending on the annual differences in the dispersal of adults during the late winter clutch size on the farne islands was with hatching success of eggs incubated for the full term at variations in clutch size were responsible for only of variation in the number of young hatched most nesting losses were due to the weather especially rough seas which particularly affected the poor quality sites variation in the number of young fledged by a pair was accounted for by the quality of their chosen nest site and to a lesser extent by previous breeding experience no other factors were found to be important and those specifically excluded were direct effects of age after the first attempt to breed nest density pair status and site or mate fidelity there was a shortage of good nest sites on the farne islands and mean nest site quality declined significantly as the population increased between and the shag population increased and the shortage of nest sites progressively reduced the production of fledged young per pair this effect was especially marked among the first time breeders which arrived late each season and were forced to occupy relatively poor sites after an exceptionally high mortality of adults in caused by a red tide nest sites were not in short supply and productivity per pair greatly increased especially among the first time breeders which moved to better sites the breeding efficiency of first time breeders was compared to established breeders after excluding the effects of nest site they bred as well as established breeders the proportion of potential breeders which emigrated to the farne islands from the forth was similar to that of emigration from the farne islands of potential female recruits immigration especially of young females has been the dominant factor determining the size of the population on the farne islands during these studies and it allowed the population there to recover rapidly from the exceptional mortality caused by the red tides of females which bred for the first time between and were immigrants a computer model showed that nest site quality has been an important factor restraining the growth of the population in future nest site availability is likely to limit breeding numbers to about pairs the prolonged nesting season and the relation between nest site quality and age of the occupying pair is considered to be the result of competition for sites which are tangible assets not conventional trophies social constraints on nesting meant that some poor sites in colonies were occupied before good ones in non occupied areas but the progressive occupation of sites during the growth of the farne islands population has been efficient for the individual pairs and for the population as a whole the established birds with the highest breeding potential occupied the best sites,The Journal of Animal Ecology,,population dynamics and breeding success of the shag phalacrocorax aristotelis on the farne islands northumberland
long term data assembled from a power station on the thames estuary were used to model fluctuations in the abundance of pogge agonus cataphractus as a function of estuarine environmental seasonal and prey availability variables using multiple regression temperature was the most important determinant of abundance with seasonal variables and changes in the relative abundance of age dab limanda limanda possibly as prey also holding important consequences for pogge abundance pogge abundance was also moderately influenced by salinity flow salinity flow interactions changes in the relative abundance of dover sole solea solea and a trend variable regular patterns of seasonal spring winter occurrences were associated with the use of warmer estuarine waters to optimize growth and reproductive potential and or correlated with inshore spawning migrations and the availability of prey species both mechanisms suggest opportunistic use of estuarine habitats by pogge available temperature abundance relationships further suggest a well defined estuarine thermal niche with an optimum at degreesc there remains a requirement for improved information on the biology of pogge and factors governing the population dynamics of this important estuarine species,Estuarine Coastal and Shelf Science,,factors affecting long term trends in the estuarine abundance of pogge agonus cataphractus
this study documented temporal variation in the abundance of butterflyfishes chaetodontidae at trunk reef on the central great barrier reef australia from may to march during this period live coral cover declined by mostly due to severe coral bleaching there were no short term changes within months in the abundance of butterflyfishes following initial declines in live coral cover surveys conducted in however revealed significant declines in the abundance of chaetodon baronessa chaetodon lunulatus chaetodon trifascialis chaetodon plebeius and chaetodon rainfordi all of which are obligate hard coral feeders in contrast there was no significant change in the abundance of chaetodon auriga chaetodon aureofasciatus chaetodon citrinellus chaetodon melannotus or chaetodon vagabundus which are much less reliant on scleractinian coral for food clearly extensive coral depletion such as that caused by severe coral bleaching can have a major effect on the abundance of butterflyfishes specific responses of butterflyfishes varied according to their reliance on hard corals for food and their ability to utilize alternate prey types,Journal of Fish Biology,,declines in the abundance of chaetodon butterflyfishes following extensive coral depletion
the paper applies a new approach to the indexing of waterbird populations underhill pr s jones to monthly counts for species of coastal wintering waders obtained over years of the birds of estuaries enquiry boee an examination of the month factors produced by the indexing methodology in conjunction with the levels of coverage achieved in different months suggested that the most appropriate grouping of months for winter index numbers was december february in addition a series of index numbers for january alone was also produced for each species in order to facilitate comparison of results with those from the previous approach to indexing boee data and because most other countries restrict their counts of wintering waders to this month of the species considered the winter index numbers for two grey plover pluvialis squatarola l and oystercatcher haematopus ostralegus l revealed sustained increases over the period by c and respectively no species showed a sustained decrease but short term decreases subsequently partially reversed were particularly pronounced for dunlin calidris alpina l and knot calidris canutus l the importance of good knowledge of the biology of the species under con sideration for intelligent interpretation is stressed in particular because varying proportions c of their united kingdom wintering populations contribute to the index numbers and because for none can the united kingdom wintering population be considered closed,Journal of applied ecology,,index numbers for waterbird populations ii coastal wintering waders in the united kingdom
from research on the breeding distribution of the white tailed eagle haliaeetus albicilla was con ducted in croatia in order to assess the size of the national population in locations clear signs of breeding activity were found an additional presumably active territories were detected but it was not possible to locate the exact position of the nests and confirm the breeding based on this it is concluded that the national breeding population is not less than breeding pairs the present distribution can be compared with previous reports with the exception of the area along the ilova and lonja rivers that have never been reported as an important breeding site analysis of the characteristics of nest positions as well as preferences avoidance of specific structural features were performed the results showed that white tailed eagles prefer to build their nests on pedunculate oaks narrow leafed ash and white poplars with the greatest preference for mature trees with a diameter above cm the minimal distance between two active pairs was meters more than of the national population breed less than two km from a large water area and of the population less than four km more than of the population breed at altitudes lower than m above sea level and are further than one km away from the nearest human settlement regardless of the availability of forests according to several parameters distance to a large water area elevation forest presence distance to the nearest settlement distance to highways and railways geographic information system gis helped to determine potential white tailed eagle breeding areas,Biologia,,population size distribution and habitat selection of the white tailed eagle haliaeetus albicilla in the alluvial wetlands of croatia
surveys of the american crocodile crocodylus acutus in turneffe atoll belize over the last decade have suggested that populations remain stable but are increasingly threatened by habitat loss particularly human development of critical nesting beaches in may june and july we used a combination of spotlight surveys and nest counts to evaluate the current status of c acutus populations in turneffe atoll a total of c acutus was observed along km of survey route crocodiles km during spotlight surveys in may and crocodiles were observed along km of survey route crocodiles km during late june early july yielding an overall encounter rate of crocodiles km this encounter rate was significantly lower than that reported for surveys conducted in two recently hatched nests both on the same beach were found during nest counts no nests were found on other beaches known to have routinely yielded nests in the past the number of nests found in this study is to fold lower than those reported from to suggesting a reduction in breeding females in the turneffe atoll crocodile population development of two important nesting beaches on blackbird cay since has likely rendered these habitats unsuitable for future nesting the combination of low crocodile encounter rates reduced nesting activity and human alteration of known nesting beaches observed in this study suggests a possible decline in the c acutus population in turneffe atoll continued population assessments will be essential in monitoring the status of c acutus in turneffe atoll and immediate management and conservation efforts should be made to protect beaches on blackbird calabash and northern cays to provide critical nesting habitat for crocodiles,Herpetological Bulletin,,possible decline of an american crocodile crocodylus acutus population on turneffe atoll
breeding season counts of nine species of colonial wading birds nycticorax nycticorax ardeola ralloides bubulcus ibis egretta garzetta ardea cinerea ardea purpurea ciconia ciconia plegadis falcinellus and platalea leucorodia nesting at donana during were analysed the aim of the study was to assess the size and trends of populations and to analyse their environmental and anthropogenic determinants we used the trim programme to test for long term trends and generalised additive models to assess the effect of local rainfall the surface area of ricefields surrounding donana and rainfall in the sahel on breeding population size all species showed positive population trends mainly from onwards the number of active colonies increased over time and up to nests from the nine studied species were recorded in one year low precipitation mm in the previous autumn and winter was associated with reductions in the numbers of breeders since rainfall determines the flooding extent in the natural marshes of donana the area of ricefields positively influenced the breeding numbers of five species only four of these species are considered to be increasing in europe and increases in donana coincide with management changes that have improved nesting and feeding habitat and reduced human disturbance in addition to large scale man made habitat changes breeding population sizes for the studied species were strongly influenced by high annual variation in rainfall typical of mediterranean habitats therefore making them likely to be affected by climate change,Ardeola,,long term population trends of colonial wading birds breeding in donana sw spain in relation to environmental and anthropogenic factors
a small population of alpine marmots was introduced near the top of the mezenc massif france in and reinforced times until an annual monitoring was performed since it took years to the population size to reach the number of marmots released afterwards the population doubled every years despite several population crashes in and the currently censused marmots were distributed into sites on an area of about km in a multiple correspondence analysis of demographic and environmental parameters of each site showed that marmots preferred these last years anthropogenic sites meadows dry stone walls elevation under m where reproduction rate was highest thus marmots are now competing with farmers for space in the same time tourism increased strongly especially tourism related to marmot spotting the interactions between the presence of marmots in this agricultural environment and human activities are described and their consequences are considered in the context of the sustainable development of the mezenc massif,Ethology Ecology \\\\& Evolution,,twenty seventh year of the alpine marmot introduction in the agricultural landscape of the central massif france
the ascension frigatebird is an island endemic whose conservation status was subject to confusion owing to difficulties in counting and misinterpretation of data accurate nest counts for this species are problematic owing to their extremely prolonged breeding seasons high nest failure rates turnover of individuals at nest sites replacement laying and biennial breeding we conducted repeated complete censuses of ascension frigatebird eggs at the speciesoco sole colony of boatswainbird island and collected data on laying phenology and nest survival rates within sample quadrats throughout the and breeding seasons we used these data to develop an individual based model that predicted the number of frigatebird nests present on each day an actual census occurred assuming an arbitrary breeding females bred there we then divided the number of nests counted in these virtual censuses by to quantify bias and used this figure to correct real census totals the model revealed that the population numbered c breeding females and c mature females in and that numbers have not changed significantly since the late s productivity at chicks pair was high compared to previous studies of ascension frigatebirds and most of those of congeners elsewhere,Ibis,,resolving the population status of ascension frigatebird fregata aquila using a virtual ecologist model
the influence of distinct demographic factors on determining population size in a littoral nesting fish symphodus roissali was studied differences in the overall abundances were studied at three sites in the nw mediterranean sea for three years to examine whether the adult population determined the number of successful nests the number of successful nests determined recruitment levels recruitment levels were subsequently related to the number of young of the year yoy joining the population after the recruitment period and the yoy value determined the size of the year class cohort in the following year s adult reproductive population the results show that there was a significant relationship between the number of spawners and the number of successful nests however the number of successful nests does not always correlate well with recruitment level furthermore recruitment levels are not good indicators of the young of the year measured three months after settlement in number joining the populations though yoy in number was related to the strength of the year class joining the adult reproductive population the following year therefore the magnitude of the recruitment and probably the size of the adult population did not determine the year class strength in s roissali,"Estuarine, Coastal and Shelf Science",,relationships between adult population size recruitment and year class strength in a labrid fish in the mediterranean sea
two independent studies of adult common toad bufo bufo movements between different spawning ponds populations both within and between years were made in england and sweden during the spring breeding periods of the results of the two studies were subsequently combined since they were found to be complementary in addition in england during and large numbers of toadlets were marked so that they could be identified if recaptured as breeding adults the degree of relocation between ponds was negatively correlated to the distance between ponds the proportion of both males and females that moved between ponds within a particular year was significantly less than the proportion relocating between years in any year between and of adults that survived to breed the following year returned to the original pond similarly of the toadlets marked during of the males that subsequently returned as breeding adults were captured in their pond of origin isolation in relation to both population dynamics and population genetics is defined and its implications for the management of common toad populatins discussed,"Breeding pond fidelity in the common toad, Bufo bufo",,breeding pond fidelity in the common toad bufo bufo
the basic demographic parameters of six bonelli s eagle hieraaetus fasciatus populations in spain and france were calculated from field data obtained in the last years average annual productivity ranged from to young pair and average annual adult survival from to preadult survival from fledging to recruitment was estimated at all the populations were declining at annual rates ranging from to although no statistically significant disagreement was observed between the predictions of a leslie matrix model fitted to the population parameters and the real trends some populations declined faster and others more slowly than expected these differences were interpreted as a result of differential emigration recruitment rates or preadult survival not accounted for by the model since the intrinsic population growth rate was about four times less sensitive to changes in preadult survival than to changes in adult survival and about ten times less sensitive to changes in fecundity and predispersal survival conservation efforts must be primarily directed towards increasing adult and preadult survival power line casualties and direct persecution must be eliminated in order to reduce mortality priorities on research should address dispersal mortality and habitat relationships involving these two parameters monitoring should be extended to other populations,Biological Conservation,,demography and conservation of western european bonelli s eagle hieraaetus fasciatus populations
the giant otter pteronura brasiliensis was hunted almost to extinction in the peruvian amazon during a period of professional trade in wild animal skins during in the department of agriculture of peru inrena prohibited commercial hunting in the peruvian amazon and the giant otter was included in appendix i of cites from to giant otter populations experienced a slow recovery in numerous rivers of the peruvian amazon here we report the population growth of the giant otter on the yavari mirin and yavar rivers in north east peru the first evaluations of giant otter populations in these rivers in which no individuals were sighted were in during surveys in and two individuals were sighted in individuals were sighted and in and individuals were observed this increase demonstrates a slow recovery and shows that the population has not yet reached its carrying capacity the prohibition of international trade in otter skins by cites supported by inrena helped the population recover and was important in the conservation of this species,Oryx,,recovery of the endangered giant otter pteronura brasiliensis on the yavari mirin and yavari rivers a success story for cites
the study on the population status and structure of mountain nyala tragelaphus buxtoni was carried out in the bale mountains national park ethiopia during the wet and dry seasons of total counts were carried out in an area of km the count ranged between and individuals females comprised while males the calf ratio was the group structure of the animals varied with season large herds were frequently observed during the wet season and smaller groups during the dry season group size changed seasonally in both seasons individuals were the frequent group size formation the maximum group was observed during the wet season the population trend of the animal from to indicated a recovery and increase but between and the population showed a continuous and steep decline however between and the population trend showed a better condition when compared with the previous years,African Journal of Ecology,,population status and structure of mountain nyala in the bale mountains national park ethiopia
some of the most pronounced ecological responses to climatic warming are expected to occur in polar marine regions where temperature increases have been the greatest and sea ice provides a sensitive mechanism by which climatic conditions affect sympagic i e with ice species population level effects of climatic change however remain difficult to quantify we used a flexible extension of cormack jolly seber capture recapture models to estimate population size and survival for polar bears ursus maritimus one of the most ice dependent of arctic marine mammals we analyzed data for polar bears captured from to along the western coast of hudson bay and in the community of churchill manitoba canada thewestern hudson bay polar bear population declined from ci in to ci in total apparent survival of prime adult polar bears yr was stable for females ci and males ci survival of juvenile subadult and senescent adult polar bears was correlated with spring sea ice breakup date which was variable among years and occurred approximately weeks earlier in than in we propose that this correlation provides evidence for a causal association between earlier sea ice breakup due to climatic warming and decreased polar bear survival it may also explain why churchill like other communities along the western coast of hudson bay has experienced an increase in human polar bear interactions in recent years earlier sea ice breakup may have resulted in a larger number of nutritionally stressed polar bears which are encroaching on human habitations in search of supplemental food because western hudson bay is near the southern limit of the species range our findings may foreshadow the demographic responses and management challenges that more northerly polar bear populations will experience if climatic warming in the arctic continues as projected,Journal of Wildlife Management,,effects of earlier sea ice breakup on survival and population size of polar bears in western hudson bay
focuses on the question of sustainable compatibility both ecologically and economically of pastoralism and wildlife in the mara ecosystem reviews results from a comprehensive ground survey which assessed environmental factors surface water fire scars type and greenness of vegetation counted wildlife and livestock and recorded human presence including vehicles and garbage and associated land uses in the mara ecosystem in southwestern kenya november data derived from this survey which covered about of the ecosystem was compared with data from an aerial wildlife count flown the following week and data collected during an initial november ground survey that had covered about of the survey area was a much drier year that and effects of rainfall differences were particularly evident in the higher quantity and quality of browse and grasses the presence of surface water the dispersal of both wild and domestic animals but fewer recent fire scars elephant were counted in the majority were the reserve areas very few in the group ranches actual numbers were in the ranches koyiaki ol choor oiowua and other ranches and in the reserve area musiara sakanumi and mara triangle most of the elephant were in the southern part of masai mara nr well away from the northern boundary where cattle are grazed a number of elephant were along water courses as would be expected at this time of year numbers were particularly high along the ol keja gem river the authors suggest the land use pattern here is not sustainable from either the wildlife management perspective the population trend for most species is downward or the pastoralist s perspective as these people are unable to run enough stock to maintain economic needs information is needed and monitoring should continue but as importantly is the need for communiction between all stakeholders,\\\\ldots Livestock Research \\\\ldots,,people wildlife and livestock in the mara ecosystem the mara count
regular counts of eastern curlew numenius madagascariensis in tasmania indicate that they have declined by over in tasmania since the s the declines have been noted at many of the sites regularly used in tasmania and there is no indication of teh birds moving to areas interstate the reasons for hte decline are not known however they may include habitat destruction and disturbance in tasmania or on the migration routes or hunting pressure in their breeding grounds or migration routes there is an urgent need to protect the species roosting and foraging grounds in tasmania and throughout its migration routes,Emu,,continuing decline of eastern curlew numenius madagascariensis in tasmania
a population assessment of the harbour seal in the international wadden sea area was carried out the results show that the populations in the different areas must be considered as one entity therefore management and conservation measurements should be placed in an international context because of the low pup production in the dutch area the survival of a harbour seal population in the dutch wadden sea depends on migration from the adjacent areas as long as adverse environmental factors i e pollution and disturbance are not under control,Biological Conservation,,management and conservation of the harbour seal phoca vitulina population in the international wadden sea area
we examined factors influencing canada goose branta canadensis interior annual nest success including the relative abundance of collared lemmings dicrostonyx richardsoni arctic fox alopex lagopus den occupancy nest density and spring phenology using data collected during annual canada goose breeding area surveys at cape churchill manitoba nest density and arctic fox den occupancy strongly influenced canada goose nest success high nest density resulted in higher nest success and high den occupancy reduced nest success nest success was not influenced by lemming abundance in the current or previous year as predicted by the bird lemming hypothesis reducing arctic fox abundance through targeted management increased nest survival of canada geese a result that further emphasizes the importance of arctic fox as nest predators in this system the spatial distribution of nest predators at least for dispersed nesting geese may be most important for nest survival regardless of the abundance of small mammals in the local ecosystem further understanding of the factors influencing the magnitude and variance in arctic fox abundance in this region and the spatial scale at which these factors are realized is necessary to fully explain predator prey alternative prey dynamics in this system,The Wilson Journal of Ornithology,,arctic foxes lemmings and canada goose nest survival at cape churchill manitoba
in eravikulam national park india nilgiri tahr hemitragus hylocrius frequent the fringes of the grass covered plateau the two main types of grassland utilised by tahr were dominated by eulalia phaeothrix and andropogon polyptichus the total wild population of nilgiri tahr is about available evidence suggests that the three largest populations have remained approximately stable in recent years annual mortality at eravikulam np was estimated to be for young for yearlings and for adults life expectancy at birth was estimated at years there was evidence for mortality incurred by predation disease accidents injury during intraspecific combat and thermal stress relevant to conservation are the short life expectancy of nilgiri tahr the need for comparable information on size and structure of all extant populations and the effect of weather patterns on the temporal distribution of births and census results,Biological Conservation,,habitat population dynamics and conservation of the nilgiri tahr hemitragus hylocrius
once abundant and widely distributed the bahama parrot backslash textit amazona leucocephala bahamensis currently inhabits only the great abaco and great lnagua islands of the bahamas in january and may we conducted point transect surveys a type of distance sampling to estimate density and population size and make recommendations for monitoring trends density ranged from se to se parrots ha and population size ranged from se to se parrots when extrapolated to the ha and ha covered by surveys on abaco in may and respectively density was se and se parrots ha and population size was se and se parrots when extrapolated to the ha covered by surveys on inagua in may and respectively because parrot distribution was clumped we would need to survey points on abaco and points on inagua to obtain a cv of for estimated density cluster size and its variability and clumping increased in wintertime making surveys imprecise and cost ineffective surveys were reasonably precise and cost effective in springtime and we recommend conducting them when parrots are pairing and selecting nesting sites survey data should be collected yearly as part of an integrated monitoring strategy to estimate density and other key demographic parameters and improve our understanding of the ecological dynamics of these geographically isolated parrot populations at risk of extinction,Wildlife Society Bulletin,,estimation of density and population size and recommendations for monitoring trends of bahama parrots on great abaco and great inagua
the tucum n parrot amazona tucumana is a rare near threatened species on cites appendix i with a restricted range in the tropical and subtropical montane forests of argentina and bolivia we assessed the conservation status of the species in argentina based on a detailed review of available information and an extensive survey throughout its range a total of individuals were detected in sites eight of which are new localities the total number recorded in this study represents less than a third of the number exported from argentina between and indicating a significant reduction,Oryx,,decline of the tucuman parrot amazona tucumana in argentina present status and conservation needs
despite the importance of assessing the viability of small and endangered populations often few demographic data are available however when counts are available from discrete sites a colony or site based approach can be useful we used recent counts of ivory gull pagophila eburnea a rare species that breeds at remote sites in the high arctic to model colony dynamics and population persistence dramatic declines in numbers of pairs nesting in canada led to the uplisting of this species to endangered by the committee on the status of endangered wildlife in canada in colonies continued to decline from to with sites at the southern edge of the breeding range on baffin island almost completely extirpated only one pair remained in and we used colony counts at sites on southern ellesmere island and devon island from to to model extinction and colonization rates extinction rates were high at mean se and increased for smaller colonies colonization rates were low at mean se new colonies were small mean pairs and there was no evidence of local rescue effects from nearby colonies based on these rates a population projection model was constructed using a starting population of pairs at the sites the projected population reached an equilibrium of approximately pairs in only yr the large and isolated colony on seymour island has declined at yr confidence limits since and had low but wide ranging probabilities of going extinct within yr the suggestion that ellesmere island may be the only site where breeding ivory gull will persist in the future is supported by the recent discovery of new colonies there in,Avian Conservation and Ecology,,colony dynamics and persistence of ivory gull breeding in canada
the abundance and distribution of harbour seals and grey seals in the estuary and gulf of st lawrence was assessed using seven aerial visual surveys of the estuary including three in june and four in august and two surveys flown in june in different areas of the gulf and harbour seal counts at haul out sites ranged from to individuals in the estuary compared with individuals for the regions surveyed in the gulf assuming that the haul out behaviour of harbour seals in our study area is similar to harbour seals in the eastern pacific where it has been estimated that about of seals are hauled out during surveys there may be approximately harbour seals in the estuary and gulf of st lawrence trend analyses of the abundance of harbour seals in the estuary since were inconclusive owing to the small number of surveys available for the analyses a total of to grey seals were counted at haul out sites in the estuary far fewer than the grey seals that were observed during the two surveys of the gulf of st lawrence no attempt was made to correct for the animals in the water haul out counts varied widely between years suggesting between year changes in the use of this area by grey seals,Canadian Technical Report of Fisheries and Aquatic Sciences,,distribution and abundance of harbour seals phoca vitulina concolor and grey seals halichoerus grypus in the estuary and gulf of st lawrence introduction
increases and decreases of waterfowl population have been used as an indicator of water quality and habitat quality the aim of this paper was to survey and monitor waterfowl population at the largest natural lake of the area of environmen tal protection of lagoa santa southeast brazil the lagoa do sumidouro holds approximately ha with a m of perimeter species richness and abundance was estimated from june to december it was recorded species of families twelve species were considered residents while eight migratory and another seven species did not present any seasonal pattern ardeidae was the most representative family holding of the species followed by anatidae and socolopacidae platalea ajaja linnaeus is considered threat ened to extinction while mycteria americana linnaeus and ciconia maguari gmelin are considered rare for the state of minas gerais there was no difference of species richness among the three main seasons wet dry and transitional species diversity was higher during the wet season the occurrence of threatened and migratory species at lagoa do sumidouro makes the lake an area of extreme biological importance,Revista Brasileira de Zoologia,,species richness and diversity of waterbirds of a natural lake in southeastern brazil
worldwide ecosystems are modified by human activities and climate change to be able to predict future changes it is necessary to understand their respective role on population dynamics among the most threatened species are top predators because of their position in the food web albatross populations are potentially affected by both human activities especially longline fisheries and climatic fluctuations based on long term data we conducted through a comparative approach a demographic analysis adult survival and breeding success on four albatross species breeding on the indian ocean sub antarctic islands to assess the relative impact of climate and fisheries during and outside the breeding season the study revealed that adult survival of almost all species was not affected by climate and therefore probably canalized against climatic variations but was negatively affected by tuna longlining effort in three species breeding success was affected by climate with contrasted effects between species with southern oscillation index having an impact on all species but one differences in demographic responses depended on the foraging zone and season in order to predict population trajectories of seabirds such as albatrosses our results show the importance of assessing the relative influence of fishing and climate impacts on demography wandering diomedea exulans sooty phoebetria fusca yellow nosed thalassarche carteri and black browed t melanophrys albatross,Global Change Biology,,relative influence of fisheries and climate on the demography of four albatross species
the jambato toad atelopus ignescens is endemic to montane forests inter andean valleys and paramos in ecuador although formerly abundant and widely distributed the species has not been recorded in nature since to determine its population status data from intensive surveys in are compared with those from and presence absence data from several localities also are reported temperature and precipitation between and were analyzed to determine whether these correlate with population trends atelopus ignescens was abundant in at paramo de guamani individuals recorded in pers min and in at paramo del antisana up to individuals m in the surveys a ignescens was absent despite considerably higher survey efforts the presence absence data at several localities also indicate a dramatic decline before a ignescens was present during of the visits to sites throughout its range after a ignescens was absent at all sites the results strongly suggest that a ignescens is extinct climatic data show that the year previous to the last record of a ignescens was particularly warm and dry the reasons for the decline in pristine areas remain unclear although the available information suggests that a combination of factors such as pathogens and unusual weather conditions may have played an important role,Journal of Herpetology,,population decline of the jambato toad atelopus ignescens anura bufonidae in the andes of ecuador
drought is a natural disturbance that can cause widespread mortality of aquatic organisms in wetlands we hypothesized that seasonal drying of marsh surfaces i e hydrological disturbance shapes spatio temporal patterns of fish populations we tested whether population dynamics of fishes were synchronized by hydrological disturbance moran effect or distance separating study sites dispersal spatio temporal patterns were examined in local populations of five abundant species at sites sampled five times per year from to in a large oligotrophic wetland fish densities differed significantly across spatio temporal scales for all species for all species except eastern mosquitofish gambusia holbrooki a significant portion of spatio temporal variation in density was attributed to drying events used as a covariate we observed three patterns of response to hydrological disturbance densities of bluefin killifish lucania goodei least killifish heterandria formosa and golden topminnow fundulus chrysotus were usually lowest after a dry down and recovered slowly eastern mosquitofish showed no distinct response to marsh drying i e they recovered quickly flagfish jordanella floridae density was often highest after a dry down and then declined population growth after a dry down was often asymptotic for bluefin killifish and golden topminnow with greatest asymptotic density and longest time to recovery at sites that dried infrequently fish population dynamics were synchronized by hydrological disturbance independent of distance and distance separating study sites independent of hydrological disturbance our ability to separate the relative importance of the moran effect from dispersal was strengthened by a weak association between hydrological synchrony and distance among study sites dispersal was the primary mechanism for synchronous population dynamics of flagfish whereas hydrological disturbance was the primary mechanism for synchronous population dynamics of the other species examined species varied in the relative role of the moran effect and dispersal in homogenizing their population dynamics probably as a function of life history and ability to exploit dry season refugia,Journal of Animal Ecology,,population dynamics of wetland fishes spatio temporal patterns synchronized by hydrological disturbance
riverine irrawaddy dolphin populations are critically endangered and much uncertainty exists over the population status in the mekong river of northeast cambodia and southern lao people s democratic republic lao pdr we conducted surveys over three years to estimate abundance at each survey as well as survival and the probability of individuals becoming unavailable for detection between surveys we utilized novel mark resight estimators to account for the detection process in estimating these parameters annual survival was se and movement in and out of an observable state was low we estimated abundance at ci with little change over our surveys we also estimated recruitment and population growth rate for the marked and presumably older individuals by estimating seniority using a reverse time model seniority was estimated at se recruitment at and population growth rate at although the population size appears to be stable we believe this represents the slow disappearance of a long lived animal with no recruitment along with the isolated nature of the population and reduced population size as compared to historical estimates we believe this population is in serious threat of extirpation we believe there may be as few as or animals in lao pdr and that the species is at risk of extinction there in the short term although recent management actions e g outlawing of explosive fishing and some restriction on the use of gill nets have likely been beneficial we believe identifying population goals to work towards identifying additional management actions to improve recruitment and designing the survey methods to best estimate the success of these actions is needed,Ecosphere,,irrawaddy dolphin demography in the mekong river an application of mark resight models
using a long term data set on the fluctuations of a reintroduced swiss population of ibex we estimated the parameters in a stochastic population model with theta logistic density regulation and how the environmental stochasticity was related to different climate variables our aim was to examine quantitatively the relative effects of variation in parameters describing the expected dynamics and the environmental stochasticity as well as the uncertainties in them for the development of reliable population projections the specific growth rate r was density regulation mainly happened close to the carrying capacity k indicating that the commonly used assumption in population ecology of loglinear density regulation is not always valid annual variation in the point estimates of the environmental stochasticity was correlated with winter climate uncertainties in parameter estimates were high especially in the estimates of density regulation and r in order to examine the dynamical consequences of the estimates as well as the uncertainties in them we constructed population prediction intervals ppi a ppi is the stochastic interval that includes the unknown population size with probability analyses of factors affecting the width of the ppi showed that the form of the density regulation as well as uncertainties in model parameters should be estimated when making projections of future fluctuations of introduced populations,Ecology,,stochastic population dynamics of an introduced swiss population of the ibex
