Journal,Title,Abstract,Date Added,Date Trained,PMID,Questionable_inclusion,Reason
Oikos,Grazing-induced proteinase inhibitors: A possible cause for lemming population cycles,"Neutral extracts of experimentally wounded Carex bigelowii and Eriophorum angustifolium inhibit the proteolytic activity of trypsin. Increasing trypsin inhibitor activity was associated with a concomitant decrease in the concentration of soluble plant proteins (TI/SPP-ratio). At different phases of a three year lemming cycle, the TI/SPP-ratio was highest at peaking and declining densities and lowest when lemming density increased. Moreover, lemmings from a declining population showed pancreatic hypertrophy, which is a well documented pathology caused by a prolonged dietary intake of trypsin inhibitors. Thus, a grazing-induced action of trypsin inhibitors, leading to an excessive excretion of enzyme-inhibitory complexes and undigested dietary proteins from the alimentary tract, can explain the adverse effects typical for the decline phase of cyclic populations e.g. retarded growth, compressed breeding season, delayed sexual maturation, low recruitment, low survival rates, increased dispersal, and variation in spacing behaviour. The results suggest that a grazing-induced action of trypsin inhibitors in food plants is a possible cause for the cyclic dynamics of mammal populations",18/07/2017 11:12,,,,
Journal of the Marine Biological Association of the United Kingdom,"Vulnerability of harbour seals, Phoca vitulina, to transient industrial activities in the Strait of Dover","The abundance of the harbour seal (Phoca vitulina) was recorded on a tidal bar in the Dover Strait off Calais, over a six-year period between 1999 and 2004. Despite clear seasonal and interannual variability in the number of individuals hauled out on the bar, underwater activities devoted to the installation of industrial wastewater pipes conducted during seven weeks I km away from the bar led to a dramatic decline in the number of seals hauling out. A full 19 months after the end of the operations the harbour seal population had not recovered their initial abundance. The results of this study have critical consequences on the conservation of P. vitulina in areas impacted by anthropogenic activities.",18/07/2017 11:12,,,,
Expert Consultation on Interactions between Sea Turtles and Fisheries within an Ecosystem Context,Marine turtle status and conservation in the Indian Ocean,"This paper reviews the status and distribution of sea turtles in the Indian Ocean and Southeast Asia, with a brief account of populations and stocks. There is a summary of threats, legal instruments and conservation approaches, principally in south and Southeast Asia. The paper also provides a series of annexes on fishing effort primarily in south Asia, as an indicator of fishing effort in the region. Lack of complete data sets for the region is identified as a major lacuna that has to be addressed to enable informed management decisions",18/07/2017 11:12,,,,
Wildlife Research,Population ecology of the nectar-feeding squirrel glider (Petaurus norfolcensis) in remnant forest in subtropical Australia,"Context. Nectar is a temporally variable food resource. However, because few studies describe the population dynamics of nectar-feeding non-flying mammals, it is unclear how such populations are influenced by resource availability. Aims. We investigated the population ecology of the squirrel glider (Petaurus norfolcensis) in remnant forest in Brisbane, Australia, where nectar was a dominant food item. Methods. We used 36 tree-mounted traps to census a squirrel glider population inhabiting a 47-ha urban remnant over a 4-year period. Key results. A total of 201 gliders was captured 705 times in 3729 trap-nights (19\\\\% trap success). Population density peaked in the first year at \\u223c1.6 individuals ha-1, and declined down to \\u223c0.5 individuals ha-1 by the final year. This change in population density appeared to be mediated by annual variation in flowering intensity. Births occurred from March to November, peaking between April and July. All females 1 year old bred in each year of the study, with a mean litter size of 1.7 (n=122). The overall natality rate was 1.9, indicating that females occasionally bred twice per year. The sex ratio was at parity in the pouch and in the trappable population. Gliders first entered the trappable population at 4 months of age, and persisted for a mean of 32 months. The maximum longevity was at least 6 years. Conclusions. The demographic characteristics of this squirrel glider population within remnant forest surrounded by urban development were similar to those reported elsewhere. Variation in nectar availability appears to have a substantial influence on the dynamics of squirrel glider populations. Implications. The substantial variation in population size driven by food availability raises concerns regarding the viability of small populations of nectarivorous non-flying mammals inhabiting remnant habitat.",18/07/2017 11:12,,,,
Biological Conservation,Reintroduction of macropods (Marsupialia: Macropodoidea) in Australia\\u2014A review,"This paper describes six recent attempts to conserve threatened wallabies (Marsupialia: Macropodoidea) by reintroduction. All ended in failure. We place these attempts within the context of nineteen other reintroductions of macropods known to us. Success of reintroduction of macropods appears to depend critically on control or exclusion of exotic terrestrial predators. Islands without exotic predators support a success rate of reintroductions an order of magnitude higher than that of mainland sites and islands with exotic predators (82\\\\% cf. 8\\\\%). Reintroductions have generally been poorly monitored and poorly documented. Researchers have often failed to appreciate the enormity of the task of controlling introduced predators (foxes and feral cats and dogs) and herbivores (rabbits), and to make adequate use of existing technology (radiotelemetry), and have been unable to overcome the logistical problems of managing reintroductions far from their research bases. Successes in management and reintroduction of other threatened fauna in Australia suggest that effective control of introduced predators and rabbits using the poison 1080, for which many native species have a high tolerance, may provide an effective means of managing mainland reintroductions.",18/07/2017 11:12,,,,
Bird Conservation International,Gal\\\\'{a}pagos Rail Laterallus spilonotus population change associated with habitat invasion by the Red-barked Quinine Tree Cinchona pubescens,"Species on oceanic islands are more likely to be endemic as well as more$\\\\backslash$nextinction-prone than those on continents. The Galapagos Rail Laterallus$\\\\backslash$nspilonotus, endemic to the Galapagos Archipelago, is presently known to$\\\\backslash$noccur on just four of its seven previously occupied islands and is$\\\\backslash$nfacing multiple threats to its persistence. In this study, we compared$\\\\backslash$nthe rail's occurrence and abundance at 193 survey points between 2000$\\\\backslash$nand 2007 on Santa Cruz Island and examined the influence of an invasion$\\\\backslash$nof the habitat of the species by the exotic Red-barked Quinine Tree$\\\\backslash$nCinchona pubescens. We detected a 13\\\\% reduction in rail occurrence and$\\\\backslash$na 31\\\\% reduction in abundance between 2000 and 2007. Rail abundance$\\\\backslash$ndeclined more in low elevation areas (< 719 m) and outside of Cinchona$\\\\backslash$npubescens removal areas but not in areas where Cinchona pubescens was$\\\\backslash$nremoved. Insofar as Galapagos Rails responded positively to management$\\\\backslash$nactions that promote and maintain native vegetation, we conclude that$\\\\backslash$nrestoration projects that restore native vegetation communities benefit$\\\\backslash$nthis apparently declining endemic bird for which more focused$\\\\backslash$nconservation attention is warranted.",18/07/2017 11:12,,,,
The Condor,Patterns and dynamics of shorebird use of California\\u2019s Central Valley,"Surveys of Californias Central Valley between 1992-1995 document it as one of the most important regions in western North America to migratory and wintering shore- birds. Populations averaged 134,000 individuals in August, 211,000 in November, 303,000 in January, and 335,000 in April. Of 33 species, the 10 or 11 that averaged over 1,000 individuals each season accounted for 99\\\\% of total numbers. Managed wetlands, agricultural fields (especially rice), and agricultural evaporation ponds held the most shorebirds. Species varied their seasonal, geographic, and habitat use of the Central Valley, primarily in response to changes in water availability from rainfall or management practices and latitudinal vari- ation in habitat availability mediated, in part, by climate. In the record rainfall year of 1994- 1995, shorebird numbers increased 74\\\\% between November and January, primarily from coast-to-interior movements of the Dunlin (Cafidris alpina) and Long-billed Dowitcher (Limnodromus scolopaceus) and local habitat shifts of Killdeer (Charadrius vociferus). Al- though the Valleys shorebirds face threats from poor or toxic water quality, changing ag- ricultural practices, and habitat loss to urbanization, they should benefit from current efforts to increase flooding of rice fields and to secure a stable high quality water supply for wetlands. Development of a sound conservation strategy is crucial for the preservation of shorebird populations in the Central Valley, as this agriculturally-dominated landscape is among the most altered in North America and remains vulnerable to strong economic and population growth pressures that may impact shorebird habitats in the future.",18/07/2017 11:12,,,,
Journal of Raptor Research,Burrowing Owl population-trend surveys in southern Alberta: 1991-2000,"In Alberta, standardized diurnal call-playback surveys for Western Burrowing Owls (Athene cunicularia hypugaea) were conducted between 1991-2000 near the town of Hanna, and between 19932000 near the town of Brooks. In most years, the Brooks and Hanna surveys encompassed 10 360 ha and,7060 ha, respectively. Both survey areas are located within the historical breeding distribution of Burrowing Owls in predominantly native mixed-grass prairie habitat. The Hanna surveys indicated that the density of nests ((x) over bar = 13.7 nests per 100 km(2), range = 2.8-32.6) declined significantly between 1991 and 2000. The decline in the Hanna area was most pronounced between 1991 (32.6 nests/100 km(2)) and 1997 (2.8 nests/100 km(2)) and recent surveys have found few nests. The Brooks surveys indicate that the density of nests ((x) over bar = 8.9 nests/100 km(2), range = 1.9-13.5), although lower than Hanna, did not decrease during the course of the surveys. The significant decline in Hanna is most likely indicative of the contraction of the northern edge of the breeding distribution of Burrowing Owls in Alberta and suggests that the population will soon become extirpated from that area.",18/07/2017 11:12,,,,
Marine Ornithology,"The status of breeding birds at Harmony Point, Nelson Island, Antarctica in summer 1995/96","A survey of breeding birds was carried out in summer 1995/96 at Harmony Point, Site of Special Scientific Interest No. 14, Nelson Island, South Shetland Islands, Antarctica. A total of 12 species was recorded: Gentoo Penguin Pygoscelis papua (3347 breeding pairs), Chinstrap Penguin P. antarctica (89 685), Southern Giant Petrel Macronectes giganteus (746), Pintado or Cape Petrel Daption capense (479), Wilson\\u2019s Storm Petrel Oceanites oceanicus and Black-bellied Storm Petrel Fregetta tropica (103), Imperial Cormorant Phalacrocorax atriceps (45), Kelp Gull Larus dominicanus (128), Subantarctic Skua Catharacta antarctica (61), South Polar Skua C. maccormicki (10), Antarctic Tern Sterna vittata (173) and Greater Sheathbill Chionis alba (144). Population size and distribution of species breeding in the area are updated and possi- ble factors related to changes occurring during a short time period discussed.",18/07/2017 11:12,,,,
Conservation Biology,"Population declines, viable breeding areas, and management options for flamingos in southern Africa","Habitat rehabilitation or intervention to prevent species declines$\\\\backslash$nare rarely employed in Africa. I argue that despite protection in$\\\\backslash$nnational parks, active intervention is necessary to halt declines$\\\\backslash$nin southern Africa's Greater (Phoenicopterus ruber) and Lesser (Phoeniconaias$\\\\backslash$nminor) Flamingo populations. Flamingos are long-lived species that$\\\\backslash$nbreed sporadically at only two localities in southern Africa: the$\\\\backslash$nMakgadikgadi Pans in Botswana and Etosha National Park in Namibia.$\\\\backslash$nDespite well-publicized breeding on Etosha Pan, flamingos have experienced$\\\\backslash$nonly three major breeding events in 40 years. Breeding failure occurs$\\\\backslash$nwhen high evaporation rates rapidly dry the pan, and up to 100,000$\\\\backslash$nflightless chicks may starve. Consequently, pairs breeding in Etosha$\\\\backslash$nexhibit extraordinarily low recruitment (0. 040 young pair$\\\\backslash$$\\\\backslash$year)$\\\\backslash$nand extrapolations indicate that adults can replace themselves only$\\\\backslash$nif they breed for 38 to 50 years and all offspring survive. Because$\\\\backslash$nsurvival of offspring from fledging to adulthood (5 years) is about$\\\\backslash$n46\\\\%, this breeding lifespan rises to an unrealistic 83 years, making$\\\\backslash$nEtosha a nonviable breeding site. Alternative, suitable flamingo$\\\\backslash$nhabitats in Africa are being mined for soda-ash, are damaged by pollution,$\\\\backslash$nor are unprotected. Accordingly, continent-wide estimates and those$\\\\backslash$nfrom southern Africa alone suggest a population decline of about$\\\\backslash$n40\\\\% in both species over the last 15 years. Because Namibia regularly$\\\\backslash$nsupports 84\\\\% of the Greater and 93\\\\% of the Lesser Flamingos in southern$\\\\backslash$nAfrica, conservation strategies are best focused there. Simple but$\\\\backslash$neffective management methods, based on those employed in western$\\\\backslash$nEurope, could reverse these downward trends. In Etosha a small island$\\\\backslash$nsurrounded by a water-filled depression would allow up to 4000 pairs$\\\\backslash$nto breed annually. The benefits of enhancing the breeding of flamingos$\\\\backslash$nin Etosha include research opportunities, tourism revenue, and a$\\\\backslash$nsafe haven for two Red Data species.",18/07/2017 11:12,,,,
Conservation Biology,Evaluating Great Smoky Mountains National Park as a population source for the Wood Thrush,"The prevailing fragmentation paradigm predicts that large, intact forests are acting as population sources for Neotropical migrant landbirds. We used the Wood Thrush (Hylocichla mustelina) as a model for evaluating the role Great Smoky Mountains National Park (the largest national park in the eastern United States) may play in maintaining regional songbird populations. We estimated the annual productivity of Wood Thrushes in the park by combining observations on the birds' distribution, abundance, and productivity with estimates of habitat availability. We estimated a breeding population of approximately 10,000 nesting pairs using habitat models developed from over 2500 point-count censuses conducted across the park. Data from 426 nests monitored from 1992 to 1997 produced a daily nest survival rate of 0.96. We estimated an annual fecundity of 2.76 fledglings per breeding pair, based on a model that incorporated the re-nesting behavior of Wood Thrushes. Results indicate that the park is producing approximately 3000 surplus female young each year. Daily nest survival rates were below those reported in other studies of Wood Thrushes in large forest tracts. The relatively high productivity of 3.31 nestlings per successful nest suggests that, in the absence of predation, the park provides high- quality nesting habitat for Wood Thrushes, but that it may also support a more diverse and abundant predator community than more disturbed or less contiguous sites. The difficulties of estimating the size of continental breeding bird populations make assessing the significance of the park within a regional landscape context problematic, but our estimates suggest that, although the park is functioning as a substantial population source on a local scale, its potential to sustain regional or continental Wood Thrush populations is limited. Our findings suggest that species such as the Wood Thrush are capable of moderate levels of surplus productivity in high-quality habitat, but that extensive areas of suitable habitat outside protected areas and other public lands will be required to sustain continental breeding populations",18/07/2017 11:12,,,,
Biological Conservation,A conservation success story in the otherwise dire megafauna extinction crisis: The Asiatic lion (Panthera leo persica) of Gir forest,"Carnivores in Asia and throughout the world face high risk of extinction due to factors such as continued habitat loss and hunting. However, the Asiatic lion of Gir forest, India presents a conservation success story whose history may help to guide the recovery and conservation of other imperiled predators. Protection of core and satellite habitats and the relocation of pastoral communities and their livestock triggered forest recovery and coincident increases in native prey populations. Wild ungulate populations increased by 10-fold between 1970 and 2010, supporting an increase in the lion population from 180 animals in 1974 to 411 animals in 2010. Coincident with this increase, lions shifted their predation preferences from a diet composed of 75\\\\% livestock to one composed of just 25\\\\% livestock. This example demonstrates the value of native prey populations to sustain imperiled carnivore species, and the use of protected areas and livestock exclusion to maintain healthy prey populations.",18/07/2017 11:12,,,,
Colonial Waterbirds,"Changes in numbers and distribution of the Northern Gannet (Morus bassanus) on Rouzic Island, (Reserve naturelle des Sept-Iles, Bretagne), France 1939-1994","This paper describes changes in numbers and distribution of Northern Gannets (Morus bassanus) on Rouzic Island from the colony's formation in 1939 to 1994. Rouzic is the only French gannetry and is currently the most southerly breeding location for the species. Population size and distribution were assessed by using land-based field counts, photographs taken from the sea and aerial photographs. Since it foundation, the colony has shown three periods of increase with average annual rates of increase of 28.1\\\\% (1947-65), 5.0\\\\% (1967-79) and 8.4\\\\% (1981-94). A Leslie simulation model indicates that, at least during the first and third periods, these increases eases were likely to have been sustained by net immigration of Northern Gannets to Rouzic. Compared to other gannetries of a similar age and size, Rouzic currently shows a high rate of population increase. In 1991, the colony held about 11,500 pairs and about 2,000 non breeders. At present, colony size is not limited by the availability of nesting habitat, but Northern Gannets will soon colonize the area occupied by the few Atlantic Puffins (Fratercula artica) and Manx Shearwaters (Puffinus puffinus) still breeding on Rouzic. While this may cause the extinction of the Atlantic Puffin colony there is no evidence that Northern Gannets have been responsible for the long term decline in Atlantic Puffin numbers.",18/07/2017 11:12,,,,
Primates,"Primate population decline in response to habitat loss: Borajan Reserve Forest of Assam, India","Systematic studies of the Borajan Reserve Forest in Assam, India, were conducted in 1995, 1997, and 1998. Initially this small (5 km(2)) forest was inhabited by substantial numbers of five species of diurnal primates and the forest was typical of Reserve Forests in northwest upper Assam. About two thirds of the forest had canopy cover of 20-50\\\\% or more. Civil unrest, political problems and a lack of resources for Forest Department personnel, however, resulted in rapid degradation of the area. After three years less than one third of the forest had more than 20\\\\% canopy cover; all primate populations had declined dramatically and the small percentage of juveniles in each species indicated that all were in imminent danger of local extinction. There was no evidence of hunting or trapping nor any large scale logging. Forest degradation was due primarily to small scale harvesting of forest products, selective cutting, and collection of firewood. Although only hand tools were employed, the forest inexorably declined in response to these steady pressures. Borajan may be an object lesson as to what can happen but it need not be the harbinger of Assam's future",18/07/2017 11:12,,,,
Natura Croatica,Status and occurrence of the Sandwich Tern Sterna sandvicensis in Croatia,"The authors present information on the status of the Sandwich Tern Sterna sandvicensis in Croatia using historical and recent data collected on the Adriatic coast in the period from 1984 to 1997. As well as providing a survey of occurrence, seasonal distribution and migration, they have estimated the number of wintering birds and listed the coastal areas that are most important for migration and wintering of Sandwich Terns on the coast of Croatia.",18/07/2017 11:12,,,,
Biological Conservation,"History, migration and present status of humpback whales Megaptera novaeangliae at Bermuda","Historical accounts show that humpback whales Megaptera novaeangliae have frequented Bermuda waters, which are located half-way between wintering and summering grounds in the western North Atlantic, since the early 17th century. There were more humpbacks present in the 17th, 18th and 19th centuries than there are today. It also appears that humpback whales utilised the Bermuda area from February to May during these centuries, while today they occur at Bermuda for only three to four weeks in April. Humpbacks probably used Bermuda as a breeding ground in winter during these previous centuries and it may be an area that will be repopulated during winter if and when the population recovers from over-hunting. Using the distinctive pattern of pigmentation on the under-sides of the tail flukes, 104 individual humpback whales were identified at Bermuda and 44 of these have also been seen at other locations, including all the major summering and wintering grounds in the western North Atlantic. Chi-square analysis of these resightings shows that the whales occur at Bermuda in the expected proportions, relative to the samples, from the summering and wintering grounds. Contemporary utilisation of Bermuda by humpbacks is as a mid-ocean habitat through which all members of the western North Atlantic population migrate during spring. There is also evidence suggesting that humpback whales feed at Bermuda on deep water scattering layers during their stop-over.",18/07/2017 11:12,,,,
Applied Animal Behaviour Science,"Recovery of alpine ibex from near extinction: the result of effective protection, captive breeding, and reintroductions","Beginning in the 1500s, over-exploitation and poaching led to a steady decline of ibex (Capra ibex ibex) numbers in the European Alps. The use of ibex products in many folk remedies guaranteed high financial returns for the hunter and resulted in the relentless pursuit of this species. By the early 1800s, < 100 animals survived in a single population in the Italian Gran Paradiso mountain massif. The recovery to more than 20 000 animals today is the result of a four-stage conservation effort which returned alpine ibex to almost their entire original range of distribution: (1) effective protection of the last remaining population, (2) captive breeding of animals caught in the recovered last population, (3) reintroduction of captive-bred animals into protected original habitat, (4) translocation of animals from successfully established ""reservoir"" populations to uninhabited sites. Alpine ibex management faces two challenges today: (1) habitat destruction in areas of high population densities, and (2) low genetic variability possibly a result of inbreeding during a succession of four potential population bottleneck situations.",18/07/2017 11:12,,,,
Journal of Raptor Research,The great gray owl (Strix nebulosa) in the changing forest environment of northern Europe,"The Great Gray Owl (Strix nebulosa) breeds in northern Europe mostly in older coniferous forests.Nest sites are usually in twig nests of large hawks, sometimes on stumps, and occasionally on the ground. The availability and the quality of tree nest sites is generally lower in managed forests; however, use of artificial nests has partly compensated for declines in natural nest sites. The Great Gray Owl has increased in abundance in northern Europe over the last 30 yr. It was absent almost entirely from Finland from 1940-60, having been numerous there, especially from 1880-1910. It feeds mainly on field voles (Microtusa grestis), which are abundant in fields and grassy areas following forest clearcuts. The area of clear-cuts has increased since 1950, providing more open hunting habitat and vole resources. Also, protection of all owls and increasing positive attitude toward birds of prey has coincided with the Great Gray Owl increases since the late 1960s. Forest management practices that may benefit the Great Gray Owl include shape of cuts which should be irregular and not broader than 400 m. Perch trees left in cut areas would expand the hunting area from the forest edge",18/07/2017 11:12,,,,
Forest Ecology and Management,Stand structure and the abundance and diversity of plants and small mammals in natural and intensively managed forests,"Little attention has been given to investigating biodiversity in managed forests. Pre-commercial thinning (PCT) and fertilization have been used successfully to increase growth of coniferous trees, vegetative succession, and overall stand structure in second-growth stands. This study was designed to test the hypotheses (H) that PCT and repeated fertilization of young (20-25 years) even-aged lodgepole pine (Pinus contorta) stands would enhance (H1) coniferous stand structure; (H2) abundance and diversity of understory vegetation; and (H3) abundance and diversity of forest-floor small mammals, to levels found in mature and old-growth forests. Replicate study areas were located near Summerland and Kelowna in south-central British Columbia, Canada. Each study area had six stands: young plantation, thinned stand (1000 stems/ha), thinned-fertilized stand (1000 stems/ha), unthinned stand, mature forest, and old-growth forest. Coniferous stand structure, understory vegetation, and forest-floor small mammals were sampled during a 5-year period from 1999 through 2003. The smaller tree sizes (diameter, height, basal area) in the young lodgepole pine stands did not support the tree size part of H1. Similar abundance of overstory and total conifers did support the abundance part of H1. The diversity component was supported by the similarity in species and structural diversity of total conifers among the intensively managed and older unmanaged stands. Response of understory vegetation was dominated by the abundance of herbs in the thinned-fertilized stands. There was no difference in shrub abundance among stands, but mosses and terrestrial lichens were most numerous in the mature and old-growth stands. Our results supported the abundance part of H2, at least for herbs and shrubs. Species richness and diversity of vascular plants were similar in managed and old-growth forests, and richness was lowest in the mature stands. H3 was supported for total abundance, species richness, and diversity of small mammals, and for the generalist species Peromyscus maniculatus and Tamias amoenus, but not for the old forest specialist Myodes gapperi. Two insectivores, Sorex monticolus and Sorex cinereus, were at comparable or higher abundance in the managed stands than in the older unmanaged forests. Three other microtines: Microtus pennsylvanicus, Microtus longicaudus, and Phenacomys intermedius were early successional vegetation specialists, and hence did not fit the prediction of H3. Thus, despite overall quantitative differences in stand structure and species-specific variability between our intensively managed and older natural stands, old-growth attributes seem to be developing in a time-span of decades rather than the centuries depicted by long rotations.",18/07/2017 11:12,,,,
"Estuarine, Coastal and Shelf Science","Local and global influences on population declines of coastal waders: Purple Sandpiper Calidris maritima numbers in the Moray Firth, Scotland","Declines in numbers by several wader species in Britain have been linked to climate change, but the mechanism for the declines has rarely been explored. Britain lies at the northern end of the East Atlantic Flyway, and supports 1.3 million out of the Flyway's 8.5 million coastal waders (Charadrii) in winter and the Purple Sandpiper is one of the species whose numbers have declined. Here, we examine the dynamics of the decline as observed in the Moray Firth, northeast Scotland, investigating whether the decline was due to poorer apparent survival (return rate) or poorer recruitment of young birds. The maximum number in the Moray Firth declined from 860 in 1987/88 to 236 in 2006/07, with some increase during winters 2007/08 and 2008/09. At the three main high-tide roosts (Balintore, Lossiemouth and Buckie) the maximum combined number declined from 574 to 90. Changes in survival and recruitment (percentage of first-year birds) were examined at these roosts from captured samples, which were ringed and recaptured. There were no significant changes between winters in survival rates, nor were there differences between the survival rates of age groups (first-year and adult) or bill size groups, which represented birds of different sex and breeding origin. Annual survival estimates for the three roosts ranged from 72 to 77\\\\%. The percentage of first-year birds varied among roosts and years; the lowest values were during the late 1980s/early 1990s and early 2000s. A free-running population model incorporating varying percentages of first-year birds and constant mortality for each roost provided a plausible explanation for the decline. Although modelled numbers followed the observed pattern, a discrepancy in one year was carried forward in subsequent years, so that the fit with the observed numbers was parallel rather than similar. However, it seems that the decline in numbers was largely due to poorer recruitment. We discuss whether breeding success had declined, whether the population had responded to changes in the local sewage treatment systems, which could affect invertebrate food for Purple Sandpipers, or whether fewer birds chose to winter in Scotland. The Moray Firth population is derived from Norway and possibly Canada, and there is evidence that the Norwegian population was disproportionately affected. The reason for poor recruitment requires further study, and other wader species require examination to test if poor recruitment is a common feature of decline in numbers.",18/07/2017 11:12,,,,
Bird Conservation International,"Frigatebirds on Aldabra Atoll: Population census, recommended monitoring protocol and sustainable tourism guidelines","We report the results of a survey of breeding Greater Frigatebird Fregata minor and Lesser Frigatebird F. ariel on Aldabra Atoll, a UNESCO World Heritage site in the Seychelles archipelago, which hosts the largest breeding population of frigatebirds in the Indian Ocean. All four colonies across the atoll were surveyed in 2011 and 2012 by counting adults on nests and chicks, and calculating the number of fledged birds. The breeding population in 2011 consisted of approximately 4,400 pairs of Greater Frigatebird and 6,600 pairs of Lesser Frigatebird. This is a potential increase of at least 10\\\\% since the last comparable surveys in 1976/77 and 2000. However, 2012 populations were considerably less than in 2011, highlighting significant annual variation and the need for more data. We also report a new breeding colony on the island of Picard, which was last reported to host breeding frigatebirds a century ago. We outline recommendations for future frigatebird monitoring on Aldabra and elsewhere and revisions to tourist regulations resulting from the census.",18/07/2017 11:12,,,,
Fisheries Research,Vital population statistics of the exploited eel stock on the Swedish west coast,"The population dynamics and exploitation of the yellow eel (Anguilla anguilla (L.)) stock on the Swedish west coast were studied. In contrast to a generally observed reduction in the recruitment of glass eels in Europe, including in Swedish waters, there was no indication of a decline in the total eel fishery yields along the Swedish west coast. Long-term records of daily catches as well as by test fishing results also shown that this stability in eel fishery yields has not been maintained by an increase in fishery effort, as the catch-per-unit-efforts in the past 20 years have been more or less unchanged. These findings implied that the number of recruits to the fishery has been rather stable, possibly indicating that density-dependent factors at the elver and yellow eel stages may moderate variations in glass eel recruitment. Total instantaneous rate of mortality was estimated from records on eel length distribution in the professional fyke-net fishery. The estimated total mortality rate in an isolated archipelago population on the west coast was chosen as an approximation of the instantaneous rate of natural mortality and net emigration in the west coast eel stock. The differences between these two estimates could, thus be regarded as the mortality that occurred due to fishing. It was found that the eel fishery was very intense and most fish were caught in small sizes, resulting in a low escapement rate of maturing fish.",18/07/2017 11:12,,,,
Biological Conservation,Decrease of sage grouse Centrocerus urophasianus after ploughing of sagebrush steppe,"The effects on wildlife of ploughing sagebrush Artemisia spp. steppe have been little studied. From 1973 to 1984, numbers of lekking male sage grouse Centrocerus urophasianus declined by 73\\\\% in a study area of south central Montana, 16\\\\% of which was ploughed by 1984. The proportion of ploughed wintering areas increased from 10\\\\% in 1975 to 30\\\\% in 1984. In contrast, numbers of lekking male sage grouse on a nearby unploughed control area showed no clear long-term trend. Ploughing even small areas of sagebrush steppe to produce cereal grains appears more detrimental to sage grouse than chemical control of sagebrush.",18/07/2017 11:12,,,,
Biological Conservation,The status and conservation of the Chacoan peccary in Paraguay,"The Chacoan peccary Catagonus wagneri is endemic to the dry thorn forest of the Gran Chaco of Paraguay, Argentina and Bolivia. Since its discovery by scientists in the 1970s its population has declined due to overhunting, habitat destruction, and possibly disease. As of 1989 about 5000 individuals are estimated to survive in the Paraguayan Chaco. Small dispersed populations still exist in Argentina and Bolivia, but more information is needed on the status of this species in those two countries. In Paraguay, Chacoan peccaries have almost disappeared from the two national parks within their range and the only significant population exists in an area where there are no reserves. The survival of this species depends on enforcing regulations against hunting both within and outside the national parks, translocating animals to the parks, establishing a system of reserves on private land in critical areas, training of Paraguayan wildlife professionals, and environmental education.",18/07/2017 11:12,,,,
Oryx,The last populations of the Critically Endangered onager Equus hemionus onager in Iran: urgent requirements for protection and study,"The onager Equus hemionus onager, a wild ass endemic to Iran, is categorized as Critically Endangered on the IUCN Red List. Its biology and conservation requirements are poorly documented. We report our observations, made in 1997 and 2000, on the behaviour and ecology of the two remaining populations, located in the Touran Protected Area and the Bahram-e-Goor Reserve. Recent population counts by the Department of Environment of Iran (471 in the Protected Area and 96 in the Reserve) are markedly lower than the estimate of 600\\u2013770 made in the 1970s in the Touran Protected Area. We observed social interactions between stallions and mares outside the breeding season that contrasts with the known social structure of this subspecies. Poaching, competition with domestic animals, removal of shrubs for domestic use, and land conversion have been identified as the main threats to the two remaining onager populations. In addition, geographical isolation could cause the loss of genetic variability in these two relatively small populations, and also makes them more susceptible to the potential effects of stochastic events such as drought or disease. Public awareness, appropriate protection, and scientific studies must be urgently supported by both national and international organizations in order to prevent the extinction of these two apparently dwindling populations of onager.",18/07/2017 11:12,,,,
Journal of Human Evolution,"Demographic observations (1963\\u20131973) on the chimpanzees of Gombe National Park, Tanzania","This report provides a longitudinal demographic profile for a small study population of chimpanzees living in the Gombe National Park of Tanzania, East Africa. The size and composition of this study population, and the trends in mortality, natality and migratory patterns it experienced over a span of ten years, are described and analysed within various ethological and ecological frameworks. The validity of the demographic profile is examined in relation to field methodology, as the study population was intensively provisioned with bananas for several years. The results yield some guidelines for managing and conserving wild chimpanzee populations, and special emphasis is placed upon protection from diseases that involve human vectors. The data presented here may also offer some novel insights to the evolution of pongid and hominid populations, so tentative steps are taken to place the Gombe profile into a broader demographic perspective.",18/07/2017 11:12,,,,
Revista Brasileira de Zoologia,"Census of shorebirds and Seabirds (Charadriidae, Scolopacidae and Laridae) in the Coroa do Aviao, Igarassu, Pernambuco State, Brazil.","Thousands of shorebirds and seabirds use the Atlantic route through the northeastern coast of Brazil every year to migrate to South America. In this study was made a census of individuals that uses the Coroa do Avi\\\\~{a}o (7\\27240S and 34\\27250W), an islet located on the south bar of the Santa Cruz channel on the north coast of Pernambuco state, from May 1993 throughout April 1995 and from August 1996 throughout July 1997. Four species of the family Charadriidae, seven species of the family Scolopacidae, and two species of the family Laridae was observed. The populational peaks match both the period of arrival to the winter season site and the period of departure to the reproduction site. The species considered very frequent were: Charadrius semipalmatus Bonaparte, 1825 and Calidris alba (Pallas, 1764). All the other species were considered rather frequent. There was a strong linear correlation between 1993 and 1994 among Pluvialis squatarola (Linnaeus, 1758) and Arenaria interpres (Linnaeus, 1758); A. interpres and Calidris pusilla (Linnaues, 1766); A. interpres and C. alba; and C. pusilla and C. alba. From 1994 to April 1995 it occured between P. squatarola and C. alba; C. semipalmatus and C. pusilla; C. semipalmatus and C. pusilla; and A. interpres and C. pusilla. From August 1996 throughout July 1997 there was correlation only between P. squatarola and C. pusilla. The obtained results demonstrate the great importance of the Coroa do Avi\\\\~{a}o as a winter season site.",18/07/2017 11:12,,,,
