"","Search","Title","Abstract","DOI","EID","SE_index","p","Relevance"
"1281","fish_oceanic","Evidence of recent recruitment in the ocean quahog Arctica islandica in the Mid-Atlantic bight","We report results of a survey explicitly focused on ocean quahog recruitment in the Mid-Atlantic Bight. The recruitment survey resampled all NMFS survey sites south of Hudson Canyon and a selection of sites north and east of Hudson Canyon off the Long Island coast over the entire depth range of this species with the exception of the most inshore reaches off Long Island. More ocean quahogs were encountered, on a per tow basis, in the vicinity of and north of Hudson Canyon. The proportion of recruits in the size-frequency distribution was higher in the south and the most recent recruitment events were concentrated there. Analysis of the 104 size-frequency distributions delineated regions of recent recruitment, areas that have not seen significant recruitment for many decades and areas that received heavy recruitment some decades previously but not recently. Overall, the survey suggests that three regionally distinctive processes determine the size-frequency distributions of ocean quahog assemblages and recruitment therein. The area northeast of Hudson Canyon is unique in the regionally extensive uniformity of size-frequency distributions among sampled assemblages, the near absence of recent recruitment and the presence of large numbers of older recruits, 65-80 mm in size. The inshore (by ocean quahog standards) area off New Jersey is unique in the dominant presence of the largest size classes of ocean quahogs and the remarkable absence of significant recruitment over an extraordinary time span. The area south of 39°N is unique in the widespread presence of relatively young recruits, including some animals with ages within the time span of the present fishery. Recruitment events in ocean quahog populations, although rare in the sense of occurring only once in a score or two of years, are frequent in the context of the +200-year life span of this species, yet also rare in the context of stock survey timing and fishery dynamics. This study strongly supports the assumption that long-lived species recruit successfully only rarely when at carrying capacity. This study also suggests that the history of recruitment over the last perhaps two-score years, revealed by this survey, may be a poor measure of the recruitment dynamics to be anticipated over the next two-score years when the population abundance is reduced to what is anticipated to approximate the biomass at maximum sustainable yield. Given the long time span required for ocean quahogs to grow to fishable size, a substantive disequilibrium may exist between the recruitment anticipated from the relationship of adult biomass to carrying capacity and the contemporaneous number of recruits for minimally 20 y after adult abundance is reduced from circa-1980 carrying capacity to biomass, maximum sustainable yield.","10.2983/0730-8000(2005)24[517:EORRIT]2.0.CO;2","2-s2.0-23944506991",377,0.807886668820223,0
"1321","fish_oceanic","Distribution and biology of the blackmouth catshark Galeus melastomus in the Alboran Sea (Southwestern Mediterranean)","The distribution, population size structure and reproductive biology of blackmouth catshark Galeus melastomus in the Alboran Sea were studied from 438 bottom trawls performed at depths of 40 to 796 m during twelve surveys carried out between 1994 and 2002. The species was only captured at the two deepest strata (below 200 m), reaching its maximum abundance and biomass between 501 and 800 m. Maximum indices, obtained in 1997 and 2002, indicate no specific trend in abundance, whereas the biomass showed a slightly decreasing trend from 1994. Similarly, seasonal variation of abundance and biomass during the last two years showed maximum values of biomass in autumn but with no trend in abundance. The size of the specimens ranged from 10 to 63 cm and all size groups were well represented in the length frequencies during all seasons. Juveniles and adults were restricted to depths below 500 m, while recruits were distributed throughout the whole bathymetric range in which the species was found. Both recruitment and spawning were continuous throughout the year and the total length at first maturity was calculated as 44.3 and 48.8 cm for males and females, respectively. Finally, the great abundance and biomass of the species as well as its wide population structure are compared and discussed with other Mediterranean areas.",NA,"2-s2.0-24744435111",114,0.808972039754296,1
"1381","fish_oceanic","Preliminary assessment of the Falklands Patagonian toothfish (Dissostichus eleginoides) population: Use of recruitment indices and the estimation of unreported catches","Longline fishing for Patagonian toothfish (Dissostichus eleginoides) has taken place in Falkland Island waters for over 10 years. This species was previously only caught as bycatch in the Loligo gahi and finfish trawl fishery. This paper presents a preliminary assessment of the Falkland Islands population of Dissostichus eleginoides using an age-structured production model (ASPM). Two models were investigated; one using a Beverton-Holt stock recruitment relationship and another using trawler CPUE based estimates of toothfish abundance to estimate yearly recruitment. A stock recruitment relationship was not included within the model that used abundance estimates, as recruitment to the population was estimated directly from the index of relative recruit abundance calculated from trawler CPUE. The model was fitted to longline standardised CPUE and to the catch-at-length data. The models produced estimates that provided similar declines in the toothfish population although the start and end biomass estimates varied slightly. The models provided estimates of between 13,000 and 26,000 tonnes of current spawning stock biomass and showed current biomass to be between 38 and 46% of virgin biomass. The fit to CPUE was poor between 1994 and 1996, which we hypothesised could have been due to unreported catches or changes in q or M. This was a time when there was considerable IUU fishing in the southwest Atlantic. When the model was allowed to estimate a level of extra catch the fit was improved and 5000 tonnes of extra catch was estimated. Two further models were briefly examined to investigate the possibility of changes in M and q but both required large changes in those parameters in order to fit. Estimates of MSY varied widely, from 912 to almost 3000 tonnes. © 2005 Elsevier B.V. All rights reserved.","10.1016/j.fishres.2005.07.010","2-s2.0-26844495292",78,0.79805241933345,1
"1391","fish_oceanic","Abundance and spatial distribution of the Mediterranean scallop, Pecten jacobaeus, in a marine lake","Pecten jacobaeus is an exploitable bivalve, whose populations have greatly declined in the main Mediterranean fisheries since the mid-1980s. A substantial population of the species was studied in the marine Lake Vouliagmeni (Korinthiakos Gulf, Greece). The population density and the spatial distribution of P. jacobaeus were estimated in the lake with line transect sampling by SCUBA diving, a method not previously used for scallop density estimations. Individuals of the first size class (small) were mainly restricted to shallow waters (4-8 m), while individuals of the second size class (large) were mainly restricted to deeper waters (>12 m). Possible reasons for this size-separation were: (1) the most appropriate settlement substrate for pediveligers was in shallow waters, (2) the strong summer thermocline in the lake may have induced the selection of the shallow and warm bottoms of the lake as settlement areas, (3) intraspecific competition between adults and pediveligers, and (4) the high fishing mortality of large individuals in shallow waters. On the hypothesis that successful recruitment of P. jacobaeus occurred mostly in the shallow areas of the lake, it was deduced that P. jacobaeus gradually migrated, as they grew, from the shallow settlement fields of the lake to the deeper areas. The density of large individuals was associated with depth and the degree of scatter (QDφ) of the granule size frequencies. Higher densities of large individuals were found deeper and in poorly sorted sediments (QDφ > 1.0). The size of large individuals was positively correlated with depth. The size of P. jacobaeus population in Lake Vouliagmeni was estimated. © 2005 Elsevier B.V. All rights reserved.","10.1016/j.fishres.2005.07.004","2-s2.0-26844528569",14,0.768241794105421,0
"1441","fish_oceanic","Estimating movement and abundance of Atka mackerel (Pleurogrammus monopterygius) with tag-release-recapture data","A mark-recapture experiment was conducted in Seguam Pass, Alaska, to estimate local Atka mackerel (Pleurogrammus monopterygius) abundance and to evaluate the efficacy of trawl exclusion zones around Steller sea lion (Eumetopias jubatus) rookeries. Atka mackerel were found in dense aggregations near the Aleutian Islands where they are a major prey item of endangered Steller sea lions. In 1999, 1375 tagged fish were released and a biomass of 76 679 metric tonnes (t) was estimated outside a trawl exclusion zone using a simple Petersen model. In 2000, 8773 tagged fish were released and the estimated biomasses were 117 900 t inside and 82 057 t outside the trawl exclusion zones using an integrated tagging model. Movement into the open zone was small after 107 days (0.6%), whereas movement from the open area was potentially large but highly uncertain after 107 days (81%). Our model suggests that trawl exclusion zones in Seguam Pass are effective in separating a large biomass of potential prey for Steller sea lions from the immediate effects of local fisheries. Atka mackerel do not appear to move substantially outside their local aggregations (<70 km), and they show strong habitat preferences within their local home ranges. In one instance, fish released in an area of low Atka mackerel abundance returned to their capture location about 2 miles away. Thus individual Atka mackerel may have an affinity for particular areas within their home range, perhaps resulting from adaptations to local oceanic conditions along the Aleutian Island archipelago. © 2005 Blackwell Publishing Ltd.","10.1111/j.1365-2419.2005.00380.x","2-s2.0-28344457564",4,0.674908547290304,1
"160","fish_oceanic","Fishing elevates variability in the abundance of exploited species","The separation of the effects of environmental variability from the impacts of fishing has been elusive, but is essential for sound fisheries management. We distinguish environmental effects from fishing effects by comparing the temporal variability of exploited versus unexploited fish stocks living in the same environments. Using the unique suite of 50-year-long larval fish surveys from the California Cooperative Oceanic Fisheries Investigations we analyse fishing as a treatment effect in a long-term ecological experiment. Here we present evidence from the marine environment that exploited species exhibit higher temporal variability in abundance than unexploited species. This remains true after accounting for life-history effects, abundance, ecological traits and phylogeny. The increased variability of exploited populations is probably caused by fishery-induced truncation of the age structure, which reduces the capacity of populations to buffer environmental events. Therefore, to avoid collapse, fisheries must be managed not only to sustain the total viable biomass but also to prevent the significant truncation of age structure. The double jeopardy of fishing to potentially deplete stock sizes and, more immediately, to amplify the peaks and valleys of population variability, calls for a precautionary management approach. ©2006 Nature Publishing Group.","10.1038/nature05232","2-s2.0-33750371465",7,0.677200487958815,0
"1711","fish_oceanic","High-frequency patterns in abundance of larval Pacific hake, Merluccius productus, and rockfish, Sebastes spp., at a single fixed station off central California","Standard CalCOFI (California Cooperative Oceanic Fisheries Investigations) ichthyoplankton bongo net sampling was conducted every 2 h over 11 days at a single fixed station off central California in February 1995. A conductivity, temperature, and depth cast was completed after each tow to record corresponding hydrographic information. Larval Pacific hake, shortbelly rockfish, and other rockfish were enumerated and length measurements were recorded. Time-depth contours of water density showed a clear boundary, defining the mixed layer along the σθ = 25.0 isopycnal, that appeared to fluctuate vertically on a 12-h cycle centered around 50 m depth. Temperature-salinity plots showed a distinctly different pattern in the mixed layer when compared with water below the pycnocline. Length-frequency distributions plotted by survey day indicated a relatively continuous input of small rockfish larvae into the survey area rather than a resident population growing progressively larger each day. Catches of rockfish larvae were much higher in nighttime tows and varied by survey day, but were unaffected by the depth of the 25.0 isopycnal. In contrast, catches of Pacific hake did not vary significantly on a diel basis, but were significantly variable by survey day and were influenced by the depth of the mixed layer. Catches of Pacific hake larvae were significantly higher during warm-saline periods (spicy water), while shortbelly rockfish were significantly less abundant under these conditions. Spectral analysis showed a clear 12-h cycle in the depth of the 25.0 isopycnal and a 24-h cycle in the catches of rockfish larvae, while Pacific hake catches and spiciness of the mixed layer appeared to have lower frequency cycles in excess of 48 h. © 2007 The Authors.","10.1111/j.1365-2419.2007.00440.x","2-s2.0-34250743723",25,0.624344816843353,0
"1722","fish_oceanic","Ocean climate effects on the relative abundance of short-finned (Illex illecebrosus) and long-finned (Loligo ealeii) squid in the northwest Atlantic Ocean","An unusually high abundance of long-finned squid (Loligo pealeii) was observed around southern Newfoundland in August-September 2000. The prevalence of maturing females and mature males, along with the collection of a single viable egg mop, provide the first evidence of spawning of this species at the northern limit of its geographic range of distribution. Northward expansion of the long-finned squid population may be related to a general warming trend in Newfoundland near-shore waters. However, trends in size and abundance of short-finned squid (Illex illecebrosus) suggest that this expansion may also be related to reduced competition. We hypothesize that these two squid species share, to a large extent, a common niche on the eastern USA shelf and that opposing responses to ecosystem variation affect their relative abundance. We address this hypothesis by applying time-series analysis of species-specific fishery- and survey-based abundance indices with biologic and environmental input variables. Our models indicate that direct competition is not important, but that variation in atmospheric forcing, as well as latitudinal position of the Shelf-Slope Front (SSF), are closely related to direct oceanographic processes that exert opposing effects on these two species. While the direct oceanographic mechanisms that regulate year-class strength remain unknown, we present a hypothesis to account for opposing population responses to oceanographic variation that operates early in the life history of both species. For the oceanic and highly migratory short-finned squid, variation in the latitudinal position of the SSF is related to efficiency of downstream dispersal by the Gulf Stream and survival of young stages. For the neritic long-finned squid, variation in local inshore temperature affects the time exposed to intense predation through its effect on rates of embryonic development and growth. The expansion of long-finned squid population abundance in 2000 was associated with both warm local water temperatures and an unusual eastward displacement of the atmospheric features associated with the North Atlantic Oscillation (NAO). These conditions may have resulted in an unfavorable oceanic regime for short-finned squid but a favorable regime for long-finned squid on the continental shelf as far north as southern Newfoundland. © 2007 The Authors.","10.1111/j.1365-2419.2007.00431.x","2-s2.0-34250773407",28,0.570049610734021,0
"1751","fish_oceanic","Distribution, abundance and biology of the smalltooth sandtiger shark Odontaspis ferox (Risso, 1810) (Lamniformes: Odontaspididae)","The smalltooth sandtiger shark, Odontaspis ferox, has a cosmopolitan distribution across warm temperate and tropical waters, and although essentially demersal, it has also been captured pelagically in mid-ocean. The species often occurs inshore at steeply shelving coastal and insular locations, and has now been identified by divers at eight widely separated shallow water sites. In the Southern Hemisphere, most O. ferox were caught by trawl on the continental slope, where its bathic range was extended to at least 880 m. Large specimens (>200 cm TL) were found across the whole depth range, but almost all juveniles were caught between 200 and 600 m. The largest recorded male was 344 cm TL, and female 450 cm TL. The few biological data suggest that size at maturity for males is around 200-250 cm TL, and for females 300-350 cm. No pregnant females were recorded but size at birth is probably about 100 cm TL. Nowhere has the species been found in large numbers. Survey and commercial catch data from south-east Australian trawl grounds suggest that numbers of O. ferox there have declined since the advent of deepwater commercial trawling in the 1970s. In areas of steep untrawlable terrain, increased gill-netting and longlining are likely to impact on local populations, with mature individuals being particularly vulnerable. Although O. ferox is not specifically targeted by commercial fishing activities, its likely very low fecundity make it susceptible to local extirpation, even at seemingly small capture rates. This species is protected off New South Wales and is considered "" vulnerable"" globally, by the World Conservation Union (IUCN). © 2007 Springer Science+Business Media, Inc.","10.1007/s10641-007-9193-x","2-s2.0-36849057037",15,0.752444771704538,1
"1791","fish_oceanic","Why fishing magnifies fluctuations in fish abundance","It is now clear that fished populations can fluctuate more than unharvested stocks. However, it is not clear why. Here we distinguish among three major competing mechanisms for this phenomenon, by using the 50-year California Cooperative Oceanic Fisheries Investigations (CalCOFI) larval fish record. First, variable fishing pressure directly increases variability in exploited populations. Second, commercial fishing can decrease the average body size and age of a stock, causing the truncated population to track environmental fluctuations directly. Third, age-truncated or juvenescent populations have increasingly unstable population dynamics because of changing demographic parameters such as intrinsic growth rates. We find no evidence for the first hypothesis, limited evidence for the second and strong evidence for the third. Therefore, in California Current fisheries, increased temporal variability in the population does not arise from variable exploitation, nor does it reflect direct environmental tracking. More fundamentally, it arises from increased instability in dynamics. This finding has implications for resource management as an empirical example of how selective harvesting can alter the basic dynamics of exploited populations, and lead to unstable booms and busts that can precede systematic declines in stock levels. ©2008 Nature Publishing Group.","10.1038/nature06851","2-s2.0-42249087307",1,0.73524031294097,0
"1911","fish_oceanic","Year-to-year and inter-decadal fluctuations in abundance of Pelagic fish populations in relation to climate-induced oceanic conditions","Ocean climate variables (1900-2005), time series of catches (1910-2005) and body size data were used to assess the year-to-year and decadal scale fluctuations in abundance of the fish populations (Japanese sardine, anchovy, jack mackerel, chub mackerel, Pacific saury and common squid) that have spawning grounds in the East China Sea and its adjacent regions. A negative correlation between the abundance of pelagic fishes (e.g. jack mackerel) in the Tsushima Warm Current (TWC) region and the Kuroshio-Oyashio Current (KOC) region was attributed to the climatic modulation of larval transport and recruitment, which depends on the winter monsoon-induced drift, current systems, and spawning season and site. The changes in abundance and alternation of dominant fish populations in the two regions in the 1930s, 1970s, and late 1980s mirrored changes in the climate indices (ALPI, AOI and MOI). Oscillations in the decadal climate shifts between the two regions led to zonal differences in larval transport and recruitment, and hence differences in the abundance of the pelagic fish populations. During deep Aleutian Lows, as in the 1980s, larval transport from the East China Sea to the KOC region increases in association with the strong winter Asian monsoon, cool regime and increased volume transport of the Kuroshio Current systems, whereas during a weak Aleutian Low (as in the 1990s), larval transport to the TWC region increased in association with a weak winter Asian monsoon, a warm regime, and increased volume transport of the Tsushima current system. We postulate that the increased chub mackerel abundance in the TWC region and the decreased abundance in the KOC region in the 1990s are partly attributed to changes in recruitment and availability to the fishing fleets under the warm regime in the spawning and nursery grounds in the East China Sea in association with the quasi-steady state of mild winter monsoon in the 1990s. The fluctuations in chub mackerel and jack mackerel abundance are under the environment-dependant growth form, although the tropicalization was identified in the TWC region. The density-dependant growth form was found in Japanese sardine populations, but no tropicalization by fishing was identified in the long (10-15 year) periods of abundance despite their short (3-4 year) generation time, suggesting that the environment-dependant growth form drove the changes in abundance. Year-to-year and decadal scale variations in abundance and population structure of the Pacific saury responded to climate regime shifts (1976/1977, 1988/1989), suggesting that the fish is a key bio-indicators for changes in the ecosystem.",NA,"2-s2.0-52949097262",2,0.817513548822187,1
"1921","fish_oceanic","The effects of environmental factors on daytime sandeel distribution and abundance on the Dogger Bank","Spring distribution and abundance of lesser sandeels during the day were linked to zooplankton densities, seabed substrate and various hydrographic factors using small scale empirical data collected in two areas on the Dogger Bank in 2004, 2005 and 2006. The results of a two-step generalized additive model (GAM) suggested that suitable seabed substrate and temperature best explain sandeel distribution (presence/absence) and that sandeel abundance (given presence) was best described by a model that included bottom temperature, difference between surface and bottom temperature and surface salinity. The current study suggests that suitable seabed substrate explains sandeel distribution in the water column. Bottom temperature and surface salinity also played an important role in explaining distribution and abundance, and we speculate that sandeels favour hydrographically dynamic areas. Contrary to our hypothesis sandeels were not strongly associated with areas of high zooplankton density. We speculate that in early spring on the western Dogger Bank plankton is still patchily distributed and that sandeels only emerge from the seabed when feeding conditions near their night-time burrowing habitat are optimal. The results also suggested that when abundance is over a threshold level, the number of sandeel schools increased rather than the schools becoming bigger. This relationship between patchiness and abundance has implications for mortality rates and hence fisheries management. Crown Copyright © 2008.","10.1016/j.seares.2008.07.003","2-s2.0-53149152195",11,0.582675260600302,1
"1971","fish_oceanic","Patterns of jellyfish abundance in the North Atlantic","A number of explanations have been advanced to account for the increased frequency and intensity at which jellyfish (pelagic cnidarians and ctenophores) blooms are being observed, most of which have been locally directed. Here, we investigate seasonal and inter-annual patterns in abundance and distribution of jellyfish in the North Atlantic Ocean to determine if there have been any system-wide changes over the period 1946-2005, by analysing records of the presence of coelenterates from the Continuous Plankton Recorder (CPR) survey. Peaks in jellyfish abundance are strongly seasonal in both oceanic and shelf areas: oceanic populations have a mid-year peak that is more closely related to peaks in phyto- and zooplankton, whilst the later peak of shelf populations mirrors changes in SST and reflects processes of advection and aggregation. There have been large amplitude cycles in the abundance of oceanic and shelf jellyfish (although not synchronous) over the last 60 years, with a pronounced synchronous increase in abundance in both areas over the last 10 years. Inter-annual variations in jellyfish abundance in oceanic areas are related to zooplankton abundance and temperature changes, but not to the North Atlantic Oscillation or to a chlorophyll index. The long-term inter-annual abundance of jellyfish on the shelf could not be explained by any environmental variables investigated. As multi-decadal cycles and more recent increase in jellyfish were obvious in both oceanic and shelf areas, we conclude that these are likely to reflect an underlying climatic signal (and bottom-up control) rather than any change in fishing pressure (top-down control). Our results also highlight the role of the CPR data in investigating long-term changes in jellyfish, and suggest that the cnidarians sampled by the CPR are more likely to be holoplanktic hydrozoans and not the much larger meroplanktic scyphozoans as has been suggested previously. © 2008 Springer Science+Business Media B.V.","10.1007/s10750-008-9593-8","2-s2.0-57449119709",9,0.769069230425729,0
"2011","fish_oceanic","Habitat, distribution, and abundance of the commercial octopus (Octopus insularis) in a tropical oceanic island, Brazil: Information for management of an artisanal fishery inside a marine protected area","The spatial distribution, abundance and habitat of a population of a shallow-water octopus, Octopus insularis, subject to some fishery pressure, was studied in the Fernando de Noronha Archipelago, a marine protected area off northeastern Brazil. Three techniques were used: visual censuses in fixed quadrants and in roving-diver and catch per unit of effort (CPUE) of the commercial fishery. We had two hypotheses, that the species had a nonrandom distribution, related to substrate and body size, and that relative abundance outside the national park would be lower than within, possibly due to fishery pressure. We found a patchy distribution over all, with octopuses almost confined to substrates with a large proportion of hard surfaces. There were seasonal and depth effects on distribution of the very small octopuses found mainly in shallow water (intertidal to 5 m depth) during the dry season. Abundance was similar inside and outside of the national park, which suggests that the octopus fishery is not a threat to the abundance of O. insularis at this present level. © 2009 Elsevier B.V. All rights reserved.","10.1016/j.fishres.2009.04.001","2-s2.0-66049105894",37,0.821981960406292,0
"2021","fish_oceanic","Cascading top-down effects of changing oceanic predator abundances","1. Top-down control can be an important determinant of ecosystem structure and function, but in oceanic ecosystems, where cascading effects of predator depletions, recoveries, and invasions could be significant, such effects had rarely been demonstrated until recently. 2. Here we synthesize the evidence for oceanic top-down control that has emerged over the last decade, focusing on large, high trophic-level predators inhabiting continental shelves, seas, and the open ocean. 3. In these ecosystems, where controlled manipulations are largely infeasible, 'pseudo-experimental' analyses of predator-prey interactions that treat independent predator populations as 'replicates', and temporal or spatial contrasts in predator populations and climate as 'treatments', are increasingly employed to help disentangle predator effects from environmental variation and noise. 4. Substantial reductions in marine mammals, sharks, and piscivorous fishes have led to mesopredator and invertebrate predator increases. Conversely, abundant oceanic predators have suppressed prey abundances. Predation has also inhibited recovery of depleted species, sometimes through predator-prey role reversals. Trophic cascades have been initiated by oceanic predators linking to neritic food webs, but seem inconsistent in the pelagic realm with effects often attenuating at plankton. 5. Top-down control is not uniformly strong in the ocean, and appears contingent on the intensity and nature of perturbations to predator abundances. Predator diversity may dampen cascading effects except where nonselective fisheries deplete entire predator functional groups. In other cases, simultaneous exploitation of predator and prey can inhibit prey responses. Explicit consideration of anthropogenic modifications to oceanic foodwebs should help inform predictions about trophic control. 6. Synthesis and applications. Oceanic top-down control can have important socio-economic, conservation, and management implications as mesopredators and invertebrates assume dominance, and recovery of overexploited predators is impaired. Continued research aimed at integrating across trophic levels is needed to understand and forecast the ecosystem effects of changing oceanic predator abundances, the relative strength of top-down and bottom-up control, and interactions with intensifying anthropogenic stressors such as climate change. © 2009 British Ecological Society.","10.1111/j.1365-2656.2009.01531.x","2-s2.0-66749121926",21,0.534185877448544,1
"2181","fish_oceanic","Krill population dynamics at South Georgia: Implications for ecosystem-based fisheries management","The South Georgia region supports a large biomass of krill that is subject to high interannual variability. The apparent lack of a locally self-maintaining krill population at South Georgia means that understanding the mechanism underlying these observed population characteristics is essential to successful ecosystem-based management of krill fishery in the region. Krill acoustic-density data from surveys conducted in the early, middle and late period of the summers of 2001 to 2005, together with krill population size structure over the same period from predator diet data, were used with a krill population dynamics model to evaluate potential mechanisms behind the observed changes in krill biomass. Krill abundance was highest during the middle of the summer in 3 years and in the late period in 2 years; in the latter there was evidence that krill recruitment was delayed by several months. A model scenario that included empirically derived estimates of both the magnitude and timing of recruitment in each year showed the greatest correlation with the acoustic series. The results are consistent with a krill population with allochthonous recruitment entering a retained adult population; i.e. oceanic transport of adult krill does not appear to be the major factor determining the dynamics of the adult population. The results highlight the importance of the timing of recruitment, especially where this could introduce a mismatch between the peak of krill abundance and the peak demand from predators, which may exacerbate the effects of changes in krill populations arising from commercial harvesting and/or climate change. © 2010 Inter-Research.","10.3354/meps08356","2-s2.0-76249085454",33,0.724651652932162,0
"2231","fish_oceanic","Through a glass less darkly-New approaches for studying the distribution, abundance and biology of Euphausiids","Euphausiids are vital components of many oceanic foodwebs. Due to their large size, they are key prey species for many vertebrates, and several species are subject to commercial fisheries. The best studied euphausiid species is Antarctic krill (Euphausia superba), and a considerable literature exists documenting its ecology. The abundance of Antarctic krill varies enormously over multiple time and space scales in the Southern Ocean. This variability is driven partly by physical processes, but also by the behaviour of the animals as individuals and as groups. It is likely that such variability also affects the populations of other large euphausiid species. In order to understand this variability, particularly in the context of rapid environmental change and expanding fisheries interests, we need to shift emphasis from conventional point- and transect-sampling conducted from brief research cruises-usually in summer-to basin-scale observations over extended time periods. Future studies of the large-scale biology of krill of all species will also need to consider how their growth, reproduction and behaviour might alter in response to predicted environmental changes such as decline in sea ice cover, rising temperature and acidification of the ocean. Paradoxically, to answer many outstanding questions in krill biology, there also needs to be a shift towards examining the three-dimensional dynamics of krill aggregations on very small space and timescales. This paper outlines some of the approaches that might enable us to make progress in understanding these key organisms at multiple spatial and temporal scales, approaches that in turn may leave us better able to manage krill populations into the future. Whilst the paper's focus is primarily on Antarctic krill, the findings are applicable generally to other large, schooling euphausiid species. Crown Copyright © 2009.","10.1016/j.dsr2.2009.10.002","2-s2.0-77949873399",12,0.461251044275984,0
"2341","fish_oceanic","Preliminary forecasts of Pacific bigeye tuna population trends under the A2 IPCC scenario","An improved version of the spatial ecosystem and population dynamics model SEAPODYM was used to investigate the potential impacts of global warming on tuna populations. The model included an enhanced definition of habitat indices, movements, and accessibility of tuna predators to different vertically migrant and non-migrant micronekton functional groups. The simulations covered the Pacific basin (model domain) at a 2°×2° geographic resolution. The structure of the model allows an evaluation from multiple data sources, and parameterization can be optimized by adjoint techniques and maximum likelihood using fishing data. A first such optimized parameterization was obtained for bigeye tuna (Thunnus obesus) in the Pacific Ocean using historical catch data for the last 50years and a hindcast from a coupled physical-biogeochemical model driven by the NCEP atmospheric reanalysis. The parameterization provided very plausible biological parameter values and a good fit to fishing data from the different fisheries, both within and outside the time period used for optimization. We then employed this model to forecast the future of bigeye tuna populations in the Pacific Ocean. The simulation was driven by the physical-biogeochemical fields predicted from a global marine biogeochemistry - climate simulation. This global simulation was performed with the IPSL climate model version 4 (IPSL-CM4) coupled to the oceanic biogeochemical model PISCES and forced by atmospheric CO2, from historical records over 1860-2000, and under the SRES A2 IPCC scenario for the 21st century (i.e. atmospheric CO2 concentration reaching 850ppm in the year 2100). Potential future changes in distribution and abundance under the IPCC scenario are presented but without taking into account any fishing effort. The simulation showed an improvement in bigeye tuna spawning habitat both in subtropical latitudes and in the eastern tropical Pacific (ETP) where the surface temperature becomes optimal for bigeye tuna spawning. The adult feeding habitat also improved in the ETP due to the increase of dissolved oxygen concentration in the sub-surface allowing adults to access deeper forage. Conversely, in the Western Central Pacific the temperature becomes too warm for bigeye tuna spawning. The decrease in spawning is compensated by an increase of larvae biomass in subtropical regions. However, natural mortality of older stages increased due to lower habitat values (too warm surface temperatures, decreasing oxygen concentration in the sub-surface and less food). This increased mortality and the displacement of surviving fish to the eastern region led to stable then declining adult biomass at the end of the century. © 2010 Elsevier Ltd.","10.1016/j.pocean.2010.04.021","2-s2.0-77957117601",31,0.619826891221436,1
"2491","fish_oceanic","Abundance of bottlenose dolphins, Tursiops truncatus (Cetacea: Delphinidae), inhabiting the Patos Lagoon estuary, southern Brazil: Implications for conservation","A new mark-recapture abundance estimate and a photographic census were carried out to investigate the possible decline in the abundance of the bottlenose dolphins, Tursiops truncatus (Montagu, 1821), in the Patos Lagoon estuary due to the high levels of bycatch mortality which occurred between 2002 and 2006 in oceanic coastal areas close to the estuary. Fourteen systematic boat surveys were conducted between August and early December 2005 to photo-identify the bottlenose dolphins. The estimated number of animals, with long-lasting marks, in the population obtained from Chapman's and Mth models were 51 (95% CI = 49-53) and 52 (95% CI = 51-60), respectively. Taking into account the proportion of dolphins with long-lasting marks in the population, the total estimated population size ranged between 84 (95% CI = 76-93) and 86 (95% CI = 78-95) individuals, respectively, which was very similar to the 84 individuals revealed by the population census. Our results did not differ from the abundance estimate carried out in 1998, prior to the high fishing-related mortality event, suggesting that the population is stable. Plausible argument to explain the stability of the population is that some carcasses found on the oceanic coastal beaches near Patos Lagoon estuary come from animals that do not belong to the estuary community. Future studies should investigate fine-scale habitat partition between estuarine and adjacent coastal dolphins. If the existence of different communities living in close proximity (estuarine and coastal areas near to the estuary) is confirmed, a new abundance estimate is needed to access the conservation status of bottlenose dolphins in this region. © 2011 Sociedade Brasileira de Zoologia.","10.1590/S1984-46702011000100004","2-s2.0-79954986951",112,0.843195431802915,1
